date,campaign_name,campaign_objective,ad_set,ad_name,placement,impressions,clicks,spend_gbp,conversions,conversion_value_gbp
2024-06-04,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1939,34,54.08,0,0.00
2024-06-05,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,7872,247,208.03,5,647.85
2024-06-05,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,3016,34,112.14,1,244.93
2024-06-05,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,2565,86,127.00,4,579.88
2024-06-05,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1940,35,54.06,0,0.00
2024-06-06,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,4194,166,234.49,4,675.88
2024-06-06,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,2024,65,108.05,1,251.32
2024-06-06,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4553,48,167.21,5,935.17
2024-06-06,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,2316,46,63.39,0,0.00
2024-06-07,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,3414,57,223.32,5,632.67
2024-06-07,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,3613,106,100.83,2,255.55
2024-06-07,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,4529,131,145.75,5,822.72
2024-06-07,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1840,22,59.85,0,0.00
2024-06-08,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,6993,266,191.08,3,507.45
2024-06-08,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,1604,57,79.99,1,211.92
2024-06-08,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,2479,31,107.66,4,612.38
2024-06-08,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1578,48,52.40,0,0.00
2024-06-09,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,6604,183,168.45,2,435.23
2024-06-09,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,2278,78,93.60,1,254.10
2024-06-09,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,reels,4172,125,121.30,7,651.04
2024-06-09,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1686,33,54.22,0,0.00
2024-06-10,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,reels,4267,94,238.08,7,798.70
2024-06-10,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,4402,119,119.80,1,307.83
2024-06-10,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,4232,128,134.42,4,643.94
2024-06-10,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,995,14,59.58,0,0.00
2024-06-11,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,5218,107,192.75,4,627.38
2024-06-11,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,3333,99,107.58,1,278.26
2024-06-11,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,4832,100,165.48,4,725.21
2024-06-11,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1185,31,55.71,0,0.00
2024-06-12,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,5375,75,211.54,3,589.92
2024-06-12,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,3569,80,98.95,2,269.55
2024-06-12,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,6301,95,159.15,5,870.14
2024-06-12,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,993,22,54.42,0,0.00
2024-06-13,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,7907,179,205.17,4,534.66
2024-06-13,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,2784,57,114.27,2,298.65
2024-06-13,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,2437,25,128.99,3,673.75
2024-06-13,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1176,26,53.18,0,0.00
2024-06-14,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,7610,97,191.56,4,540.15
2024-06-14,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,4089,75,123.05,2,302.76
2024-06-14,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,5018,192,154.51,6,714.33
2024-06-14,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1778,26,67.28,0,0.00
2024-06-15,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,6679,160,170.38,4,549.35
2024-06-15,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,2268,32,73.05,1,178.19
2024-06-15,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,3194,55,110.52,3,519.64
2024-06-15,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,1581,51,45.43,0,0.00
2024-06-16,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,6072,78,178.74,3,533.39
2024-06-16,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,3054,112,91.11,1,206.55
2024-06-16,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,reels,3956,81,127.18,5,658.09
2024-06-16,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,2066,65,53.63,0,0.00
2024-06-17,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,3535,138,212.39,5,614.34
2024-06-17,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,1490,32,91.97,1,215.81
2024-06-17,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,4970,156,166.53,6,955.33
2024-06-17,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1574,46,57.49,0,0.00
2024-06-18,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,6852,243,237.71,7,809.98
2024-06-18,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,2622,67,94.12,1,201.74
2024-06-18,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,4364,127,162.55,4,741.85
2024-06-18,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,2314,73,66.38,0,0.00
2024-06-19,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,9203,243,236.04,4,674.66
2024-06-19,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,1570,27,97.02,1,250.62
2024-06-19,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,6293,177,164.36,7,722.09
2024-06-19,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1436,17,65.77,0,0.00
2024-06-20,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,4104,64,224.04,3,597.16
2024-06-20,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,3537,135,107.24,2,281.44
2024-06-20,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4729,47,165.66,7,884.55
2024-06-20,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,1407,34,55.93,0,0.00
2024-06-21,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,3036,96,191.67,3,560.43
2024-06-21,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,3179,109,91.76,1,222.97
2024-06-21,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,5259,128,158.82,5,770.37
2024-06-21,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1263,36,56.50,0,0.00
2024-06-22,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,4167,119,178.86,3,539.85
2024-06-22,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,1609,60,77.83,1,184.63
2024-06-22,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,3975,102,118.35,3,638.68
2024-06-22,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,1042,10,44.59,0,0.00
2024-06-23,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,2849,47,178.97,3,597.56
2024-06-23,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,reels,1811,50,80.53,1,215.85
2024-06-23,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,2706,74,106.88,3,529.92
2024-06-23,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1601,25,40.36,0,0.00
2024-06-24,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,4002,79,224.69,6,666.44
2024-06-24,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,3999,48,110.76,1,246.85
2024-06-24,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,3543,88,151.66,4,798.52
2024-06-24,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1225,34,52.69,0,0.00
2024-06-25,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,8950,97,248.10,7,836.29
2024-06-25,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,1826,71,117.74,1,297.71
2024-06-25,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,5709,113,147.61,6,742.63
2024-06-25,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1182,36,54.96,0,0.00
2024-06-26,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,reels,5742,76,218.84,6,646.49
2024-06-26,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,3800,72,122.15,2,312.82
2024-06-26,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,4889,188,148.99,5,715.33
2024-06-26,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1829,37,69.87,0,0.00
2024-06-27,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,7423,75,236.88,5,715.40
2024-06-27,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,3772,97,118.61,1,258.24
2024-06-27,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4820,138,159.21,6,829.87
2024-06-27,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,2034,43,54.61,0,0.00
2024-06-28,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,3678,70,226.07,4,613.47
2024-06-28,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,1775,62,107.17,1,234.68
2024-06-28,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4928,117,155.69,4,804.82
2024-06-28,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,1931,35,69.34,0,0.00
2024-06-29,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,5440,122,175.56,3,451.57
2024-06-29,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,2086,41,91.51,2,241.22
2024-06-29,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,3111,59,105.11,3,541.74
2024-06-29,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,752,20,41.01,0,0.00
2024-06-30,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,4558,101,150.66,3,417.39
2024-06-30,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,1502,45,81.33,1,199.20
2024-06-30,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,2932,33,112.61,4,520.77
2024-06-30,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1832,53,49.52,0,0.00
2024-07-01,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,reels,3097,97,176.94,3,558.20
2024-07-01,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,2533,73,85.74,2,235.08
2024-07-01,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,3604,115,118.67,3,552.13
2024-07-01,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1250,16,53.19,0,0.00
2024-07-02,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,3058,106,175.37,3,570.74
2024-07-02,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,3776,80,98.66,1,214.93
2024-07-02,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4623,96,129.56,5,638.49
2024-07-02,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1418,47,55.99,0,0.00
2024-07-03,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,7232,228,190.10,4,553.10
2024-07-03,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,2011,65,90.27,2,258.45
2024-07-03,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,2525,94,132.70,4,627.01
2024-07-03,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,728,25,48.16,0,0.00
2024-07-04,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,6736,182,221.90,4,751.50
2024-07-04,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,2609,76,87.69,2,238.57
2024-07-04,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4401,136,137.22,6,745.45
2024-07-04,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,922,25,50.39,0,0.00
2024-07-05,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,3982,92,176.68,2,484.14
2024-07-05,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,3627,136,96.27,2,239.60
2024-07-05,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4341,159,135.12,5,670.15
2024-07-05,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1870,63,55.91,0,0.00
2024-07-06,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,reels,4575,152,133.34,3,425.33
2024-07-06,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,1144,41,66.95,1,149.90
2024-07-06,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,2028,74,110.33,5,628.22
2024-07-06,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,1294,19,47.42,0,0.00
2024-07-07,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,4333,56,139.74,2,417.36
2024-07-07,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,2431,73,80.67,1,199.02
2024-07-07,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,1738,58,93.43,3,527.67
2024-07-07,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,1021,11,49.00,0,0.00
2024-07-08,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,7863,269,228.87,3,643.30
2024-07-08,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,3687,111,101.65,2,270.71
2024-07-08,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,5552,196,146.13,5,744.10
2024-07-08,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,1053,33,55.96,0,0.00
2024-07-09,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,4246,84,184.43,3,550.03
2024-07-09,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,2359,45,103.66,1,244.64
2024-07-09,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_feed,5563,211,139.31,3,630.70
2024-07-09,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1817,50,50.06,0,0.00
2024-07-10,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,8882,154,228.47,5,702.11
2024-07-10,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,3803,40,107.66,1,255.47
2024-07-10,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,2964,85,133.58,4,706.52
2024-07-10,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,2049,21,51.71,0,0.00
2024-07-11,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,3785,145,229.84,5,714.68
2024-07-11,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,facebook_feed,2919,102,106.00,2,302.21
2024-07-11,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4496,133,136.12,5,651.42
2024-07-11,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_feed,964,20,62.45,0,0.00
2024-07-12,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_stories,5413,89,183.80,4,557.79
2024-07-12,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,2669,38,107.30,1,237.71
2024-07-12,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,4374,129,152.30,4,701.40
2024-07-12,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,reels,2067,25,63.53,0,0.00
2024-07-13,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,facebook_feed,4067,144,166.45,5,532.41
2024-07-13,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_stories,2414,88,69.26,1,195.18
2024-07-13,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,facebook_feed,3930,47,114.06,4,540.84
2024-07-13,Brand_Awareness_UK,awareness,Brand_Awareness_UK_AS1,Brand_Awareness_UK_Ad1,instagram_stories,1297,43,37.30,0,0.00
2024-07-14,Prospecting_Mens_UK,conversions,Prospecting_Mens_UK_AS1,Prospecting_Mens_UK_Ad1,instagram_feed,4855,97,157.02,4,518.15
2024-07-14,Prospecting_Mens_EU,conversions,Prospecting_Mens_EU_AS1,Prospecting_Mens_EU_Ad1,instagram_feed,1945,42,76.44,1,213.43
2024-07-14,Retargeting_AllUsers,conversions,Retargeting_AllUsers_AS1,Retargeting_AllUsers_Ad1,instagram_stories,4559,102,119.25,3,528.83
