date,campaign_name,campaign_type,ad_group,impressions,clicks,spend_gbp,conversions,conversion_value_gbp
2024-06-17,Brand_Search_EU,search,Brand_Search_EU_AG1,339,21,41.04,1,182.14
2024-06-17,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1494,97,78.41,1,235.60
2024-06-17,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,935,45,61.97,1,261.69
2024-06-17,Shopping_All_EU,shopping,Shopping_All_EU_AG1,625,27,44.58,1,132.09
2024-06-17,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,481,13,27.43,0,35.23
2024-06-17,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1876,113,182.21,5,572.02
2024-06-18,Brand_Search_UK,search,Brand_Search_UK_AG1,1224,43,94.09,3,412.38
2024-06-18,Brand_Search_EU,search,Brand_Search_EU_AG1,775,30,39.70,1,170.04
2024-06-18,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1675,54,97.61,1,295.34
2024-06-18,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,545,34,58.21,1,237.81
2024-06-18,Shopping_All_EU,shopping,Shopping_All_EU_AG1,616,45,44.63,0,151.90
2024-06-18,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,390,15,29.75,0,39.19
2024-06-18,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1312,65,158.92,3,494.92
2024-06-19,Brand_Search_UK,search,Brand_Search_UK_AG1,958,42,117.90,4,515.65
2024-06-19,Brand_Search_EU,search,Brand_Search_EU_AG1,679,19,42.59,1,186.88
2024-06-19,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,975,26,93.81,2,324.36
2024-06-19,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1268,26,74.51,1,275.13
2024-06-19,Shopping_All_EU,shopping,Shopping_All_EU_AG1,401,22,47.34,0,148.35
2024-06-19,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,219,8,22.75,0,28.72
2024-06-19,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1757,107,159.02,4,502.86
2024-06-20,Brand_Search_UK,search,Brand_Search_UK_AG1,1881,84,98.25,3,474.91
2024-06-20,Brand_Search_EU,search,Brand_Search_EU_AG1,622,23,40.69,1,173.97
2024-06-20,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1041,60,85.25,1,273.64
2024-06-20,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1347,77,70.59,2,304.90
2024-06-20,Shopping_All_EU,shopping,Shopping_All_EU_AG1,669,14,42.08,0,123.93
2024-06-20,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,255,19,23.11,0,29.06
2024-06-20,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,3161,63,178.37,3,607.73
2024-06-21,Brand_Search_UK,search,Brand_Search_UK_AG1,1029,45,91.95,2,415.30
2024-06-21,Brand_Search_EU,search,Brand_Search_EU_AG1,566,29,37.36,1,132.68
2024-06-21,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1992,41,101.16,1,325.78
2024-06-21,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1007,22,66.51,1,226.15
2024-06-21,Shopping_All_EU,shopping,Shopping_All_EU_AG1,704,20,49.18,1,155.32
2024-06-21,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,184,8,22.87,0,28.48
2024-06-21,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,3293,209,181.15,3,658.96
2024-06-22,Brand_Search_UK,search,Brand_Search_UK_AG1,772,41,81.99,2,357.83
2024-06-22,Brand_Search_EU,search,Brand_Search_EU_AG1,356,14,32.76,0,137.97
2024-06-22,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,800,39,76.80,1,287.81
2024-06-22,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,536,39,47.66,1,157.34
2024-06-22,Shopping_All_EU,shopping,Shopping_All_EU_AG1,558,34,39.27,0,105.86
2024-06-22,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,361,17,21.05,0,22.08
2024-06-22,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2750,167,144.46,2,437.74
2024-06-23,Brand_Search_UK,search,Brand_Search_UK_AG1,657,25,75.49,3,377.65
2024-06-23,Brand_Search_EU,search,Brand_Search_EU_AG1,441,32,26.26,0,117.28
2024-06-23,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1287,75,69.48,1,220.94
2024-06-23,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,400,28,43.95,1,174.98
2024-06-23,Shopping_All_EU,shopping,Shopping_All_EU_AG1,272,7,30.93,0,81.62
2024-06-23,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,256,9,19.62,0,23.05
2024-06-23,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2685,74,137.91,3,478.88
2024-06-24,Brand_Search_UK,search,Brand_Search_UK_AG1,1370,89,96.02,5,506.72
2024-06-24,Brand_Search_EU,search,Brand_Search_EU_AG1,588,45,39.29,1,163.68
2024-06-24,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1312,99,96.04,2,302.76
2024-06-24,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,642,30,60.43,2,237.23
2024-06-24,Shopping_All_EU,shopping,Shopping_All_EU_AG1,819,57,48.20,0,146.24
2024-06-24,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,495,16,30.00,0,39.73
2024-06-24,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1450,82,150.45,3,475.28
2024-06-25,Brand_Search_UK,search,Brand_Search_UK_AG1,1318,67,95.84,3,527.40
2024-06-25,Brand_Search_EU,search,Brand_Search_EU_AG1,628,16,38.64,1,157.81
2024-06-25,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,991,77,100.49,2,381.42
2024-06-25,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,942,74,56.45,1,236.28
2024-06-25,Shopping_All_EU,shopping,Shopping_All_EU_AG1,454,30,40.56,0,109.49
2024-06-25,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,487,11,25.66,0,27.45
2024-06-25,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1641,43,166.34,5,515.64
2024-06-26,Brand_Search_UK,search,Brand_Search_UK_AG1,1241,69,92.50,3,463.95
2024-06-26,Brand_Search_EU,search,Brand_Search_EU_AG1,349,23,38.20,1,167.99
2024-06-26,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1292,70,81.94,1,261.90
2024-06-26,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,589,12,62.49,1,236.04
2024-06-26,Shopping_All_EU,shopping,Shopping_All_EU_AG1,678,32,53.10,1,152.04
2024-06-26,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,252,13,27.80,0,30.87
2024-06-26,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2172,98,198.08,5,670.68
2024-06-27,Brand_Search_UK,search,Brand_Search_UK_AG1,1565,36,106.76,3,543.33
2024-06-27,Brand_Search_EU,search,Brand_Search_EU_AG1,592,37,35.79,0,121.88
2024-06-27,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1499,98,83.19,1,255.10
2024-06-27,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,645,39,73.62,2,272.92
2024-06-27,Shopping_All_EU,shopping,Shopping_All_EU_AG1,750,55,51.85,0,133.38
2024-06-27,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,310,6,26.09,0,35.84
2024-06-27,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2008,117,148.64,3,526.66
2024-06-28,Brand_Search_UK,search,Brand_Search_UK_AG1,2049,54,111.46,3,518.95
2024-06-28,Brand_Search_EU,search,Brand_Search_EU_AG1,320,7,34.63,0,123.00
2024-06-28,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1584,121,86.29,1,299.56
2024-06-28,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,732,58,56.21,2,238.04
2024-06-28,Shopping_All_EU,shopping,Shopping_All_EU_AG1,526,40,46.71,1,138.53
2024-06-28,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,559,11,28.27,0,36.36
2024-06-28,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2450,52,184.84,4,733.45
2024-06-29,Brand_Search_UK,search,Brand_Search_UK_AG1,1093,45,86.89,2,392.26
2024-06-29,Brand_Search_EU,search,Brand_Search_EU_AG1,411,9,25.05,0,89.06
2024-06-29,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1375,27,73.88,1,263.21
2024-06-29,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1025,29,55.12,1,233.62
2024-06-29,Shopping_All_EU,shopping,Shopping_All_EU_AG1,621,26,38.33,1,129.80
2024-06-29,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,234,8,20.30,0,25.98
2024-06-29,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2226,127,129.72,2,412.15
2024-06-30,Brand_Search_UK,search,Brand_Search_UK_AG1,1058,42,79.02,2,406.89
2024-06-30,Brand_Search_EU,search,Brand_Search_EU_AG1,495,34,25.59,0,114.57
2024-06-30,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1409,42,72.99,2,223.15
2024-06-30,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,812,29,50.56,1,213.69
2024-06-30,Shopping_All_EU,shopping,Shopping_All_EU_AG1,321,13,36.18,0,112.83
2024-06-30,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,282,19,22.03,0,24.77
2024-06-30,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1439,48,120.05,2,381.49
2024-07-01,Brand_Search_UK,search,Brand_Search_UK_AG1,1023,53,103.76,2,516.04
2024-07-01,Brand_Search_EU,search,Brand_Search_EU_AG1,452,22,31.11,0,114.46
2024-07-01,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,779,21,71.74,1,228.52
2024-07-01,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,847,17,68.23,1,253.46
2024-07-01,Shopping_All_EU,shopping,Shopping_All_EU_AG1,679,15,40.34,1,107.19
2024-07-01,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,224,15,26.78,0,29.95
2024-07-01,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,2671,109,166.64,4,521.82
2024-07-02,Brand_Search_UK,search,Brand_Search_UK_AG1,1574,107,108.02,3,510.49
2024-07-02,Brand_Search_EU,search,Brand_Search_EU_AG1,421,19,30.59,0,108.03
2024-07-02,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1215,40,82.91,2,284.64
2024-07-02,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,1149,44,62.52,1,207.06
2024-07-02,Shopping_All_EU,shopping,Shopping_All_EU_AG1,516,28,42.03,0,121.50
2024-07-02,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,262,10,23.01,0,29.82
2024-07-02,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,3171,140,168.99,4,584.83
2024-07-03,Brand_Search_UK,search,Brand_Search_UK_AG1,956,23,108.84,4,589.95
2024-07-03,Brand_Search_EU,search,Brand_Search_EU_AG1,489,14,31.36,0,127.51
2024-07-03,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1184,80,74.59,1,262.29
2024-07-03,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,596,14,67.61,1,231.10
2024-07-03,Shopping_All_EU,shopping,Shopping_All_EU_AG1,338,25,40.34,0,107.01
2024-07-03,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,350,23,23.81,0,29.93
2024-07-03,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,3025,125,159.05,4,575.65
2024-07-04,Brand_Search_UK,search,Brand_Search_UK_AG1,1710,104,95.74,4,540.78
2024-07-04,Brand_Search_EU,search,Brand_Search_EU_AG1,362,8,33.64,0,125.62
2024-07-04,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,593,32,70.77,1,242.02
2024-07-04,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,772,20,63.85,1,253.59
2024-07-04,Shopping_All_EU,shopping,Shopping_All_EU_AG1,714,34,40.36,0,111.24
2024-07-04,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,269,11,23.38,0,26.50
2024-07-04,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1962,74,143.61,4,570.75
2024-07-05,Brand_Search_UK,search,Brand_Search_UK_AG1,1033,65,90.17,2,453.42
2024-07-05,Brand_Search_EU,search,Brand_Search_EU_AG1,643,39,35.25,0,121.14
2024-07-05,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,885,47,83.06,2,266.14
2024-07-05,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,553,30,68.72,2,247.46
2024-07-05,Shopping_All_EU,shopping,Shopping_All_EU_AG1,389,8,37.46,0,118.22
2024-07-05,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,275,7,24.18,0,32.68
2024-07-05,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1475,34,171.25,3,643.61
2024-07-06,Brand_Search_UK,search,Brand_Search_UK_AG1,1221,63,70.32,1,332.59
2024-07-06,Brand_Search_EU,search,Brand_Search_EU_AG1,388,13,22.72,0,86.64
2024-07-06,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1186,25,73.03,1,273.45
2024-07-06,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,464,21,52.22,1,189.58
2024-07-06,Shopping_All_EU,shopping,Shopping_All_EU_AG1,583,40,33.65,0,111.77
2024-07-06,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,259,17,15.87,0,20.28
2024-07-06,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1129,54,114.39,3,429.95
2024-07-07,Brand_Search_UK,search,Brand_Search_UK_AG1,1269,95,69.24,3,374.11
2024-07-07,Brand_Search_EU,search,Brand_Search_EU_AG1,341,15,26.98,0,113.07
2024-07-07,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1263,59,69.08,1,262.30
2024-07-07,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,384,7,46.73,1,151.16
2024-07-07,Shopping_All_EU,shopping,Shopping_All_EU_AG1,246,14,29.45,0,96.97
2024-07-07,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,242,13,20.34,0,22.93
2024-07-07,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1929,67,104.13,2,370.65
2024-07-08,Brand_Search_UK,search,Brand_Search_UK_AG1,1379,28,82.66,2,428.74
2024-07-08,Brand_Search_EU,search,Brand_Search_EU_AG1,472,24,33.18,0,127.84
2024-07-08,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,1318,102,78.25,1,277.73
2024-07-08,Shopping_Tees_UK,shopping,Shopping_Tees_UK_AG1,588,21,57.08,1,189.38
2024-07-08,Shopping_All_EU,shopping,Shopping_All_EU_AG1,680,19,46.24,1,137.68
2024-07-08,Generic_Streetwear_UK,search,Generic_Streetwear_UK_AG1,317,21,26.73,0,29.32
2024-07-08,PMax_Menswear_UK,pmax,PMax_Menswear_UK_AG1,1822,38,136.07,2,406.69
2024-07-09,Brand_Search_UK,search,Brand_Search_UK_AG1,1294,34,86.78,2,418.34
2024-07-09,Brand_Search_EU,search,Brand_Search_EU_AG1,541,27,38.91,1,163.55
2024-07-09,Shopping_Hoodies_UK,shopping,Shopping_Hoodies_UK_AG1,935,70,78.97,2,307.11
