movement_id,variant_id,date,type,quantity_delta,running_balance,reference_id
mv_0000060,var_000077,2024-06-01T08:00:00,po_receipt,134,134,PO-2024-0006
mv_0000061,var_000078,2024-06-01T08:00:00,po_receipt,71,71,PO-2024-0006
mv_0000062,var_000079,2024-06-01T08:00:00,po_receipt,118,118,PO-2024-0006
mv_0000063,var_000080,2024-06-01T08:00:00,po_receipt,183,183,PO-2024-0006
mv_0000064,var_000081,2024-06-01T08:00:00,po_receipt,154,154,PO-2024-0006
mv_0000065,var_000082,2024-06-01T08:00:00,po_receipt,143,143,PO-2024-0006
mv_0000066,var_000083,2024-06-01T08:00:00,po_receipt,67,67,PO-2024-0006
mv_0000067,var_000084,2024-06-01T08:00:00,po_receipt,107,107,PO-2024-0006
mv_0000068,var_000085,2024-06-01T08:00:00,po_receipt,176,176,PO-2024-0006
mv_0000069,var_000086,2024-06-01T08:00:00,po_receipt,144,144,PO-2024-0006
mv_0000070,var_000087,2024-06-01T08:00:00,po_receipt,131,131,PO-2024-0006
mv_0000071,var_000088,2024-06-01T08:00:00,po_receipt,68,68,PO-2024-0006
mv_0000072,var_000089,2024-06-01T08:00:00,po_receipt,103,103,PO-2024-0006
mv_0000073,var_000090,2024-06-01T08:00:00,po_receipt,160,160,PO-2024-0006
mv_0000074,var_000091,2024-06-01T08:00:00,po_receipt,122,122,PO-2024-0006
mv_0000075,var_000092,2024-06-01T08:00:00,po_receipt,125,125,PO-2024-0006
mv_0000076,var_000093,2024-06-01T08:00:00,po_receipt,61,61,PO-2024-0006
mv_0000077,var_000094,2024-06-01T08:00:00,po_receipt,93,93,PO-2024-0006
mv_0000078,var_000095,2024-06-01T08:00:00,po_receipt,163,163,PO-2024-0006
mv_0000079,var_000096,2024-06-01T08:00:00,po_receipt,135,135,PO-2024-0006
mv_0000080,var_000097,2024-06-01T08:00:00,po_receipt,127,127,PO-2024-0006
mv_0000081,var_000098,2024-06-01T08:00:00,po_receipt,108,108,PO-2024-0006
mv_0000082,var_000099,2024-06-01T08:00:00,po_receipt,172,172,PO-2024-0006
mv_0000083,var_000100,2024-06-01T08:00:00,po_receipt,250,250,PO-2024-0006
mv_0000084,var_000101,2024-06-01T08:00:00,po_receipt,234,234,PO-2024-0006
mv_0000085,var_000102,2024-06-01T08:00:00,po_receipt,204,204,PO-2024-0006
mv_0000086,var_000103,2024-06-01T08:00:00,po_receipt,114,114,PO-2024-0006
mv_0000087,var_000104,2024-06-01T08:00:00,po_receipt,189,189,PO-2024-0006
mv_0000088,var_000105,2024-06-01T08:00:00,po_receipt,243,243,PO-2024-0006
mv_0000089,var_000106,2024-06-01T08:00:00,po_receipt,230,230,PO-2024-0006
mv_0000090,var_000107,2024-06-01T08:00:00,po_receipt,230,230,PO-2024-0006
mv_0000091,var_000108,2024-06-01T08:00:00,po_receipt,66,66,PO-2024-0006
mv_0000092,var_000109,2024-06-01T08:00:00,po_receipt,120,120,PO-2024-0006
mv_0000093,var_000110,2024-06-01T08:00:00,po_receipt,162,162,PO-2024-0006
mv_0000094,var_000111,2024-06-01T08:00:00,po_receipt,142,142,PO-2024-0006
mv_0000095,var_000112,2024-06-01T08:00:00,po_receipt,137,137,PO-2024-0006
mv_0000096,var_000113,2024-06-01T08:00:00,po_receipt,66,66,PO-2024-0006
mv_0000097,var_000114,2024-06-01T08:00:00,po_receipt,121,121,PO-2024-0006
mv_0000098,var_000115,2024-06-01T08:00:00,po_receipt,177,177,PO-2024-0006
mv_0000099,var_000116,2024-06-01T08:00:00,po_receipt,152,152,PO-2024-0006
mv_0000100,var_000117,2024-06-01T08:00:00,po_receipt,142,142,PO-2024-0006
mv_0000101,var_000121,2024-06-01T08:00:00,po_receipt,106,106,PO-2024-0006
mv_0000102,var_000122,2024-06-01T08:00:00,po_receipt,186,186,PO-2024-0006
mv_0000103,var_000123,2024-06-01T08:00:00,po_receipt,262,262,PO-2024-0006
mv_0000104,var_000124,2024-06-01T08:00:00,po_receipt,233,233,PO-2024-0006
mv_0000105,var_000125,2024-06-01T08:00:00,po_receipt,208,208,PO-2024-0006
mv_0000106,var_000126,2024-06-01T08:00:00,po_receipt,108,108,PO-2024-0006
mv_0000107,var_000127,2024-06-01T08:00:00,po_receipt,192,192,PO-2024-0006
mv_0000108,var_000128,2024-06-01T08:00:00,po_receipt,257,257,PO-2024-0006
mv_0000109,var_000129,2024-06-01T08:00:00,po_receipt,211,211,PO-2024-0006
mv_0000110,var_000130,2024-06-01T08:00:00,po_receipt,219,219,PO-2024-0006
mv_0000111,var_000131,2024-06-01T08:00:00,po_receipt,109,109,PO-2024-0006
mv_0000112,var_000132,2024-06-01T08:00:00,po_receipt,166,166,PO-2024-0006
mv_0000113,var_000133,2024-06-01T08:00:00,po_receipt,267,267,PO-2024-0006
mv_0000114,var_000134,2024-06-01T08:00:00,po_receipt,213,213,PO-2024-0006
mv_0000115,var_000135,2024-06-01T08:00:00,po_receipt,247,247,PO-2024-0006
mv_0000116,var_000136,2024-06-01T08:00:00,po_receipt,62,62,PO-2024-0006
mv_0000117,var_000137,2024-06-01T08:00:00,po_receipt,95,95,PO-2024-0006
mv_0000118,var_000138,2024-06-01T08:00:00,po_receipt,137,137,PO-2024-0006
mv_0000119,var_000139,2024-06-01T08:00:00,po_receipt,133,133,PO-2024-0006
mv_0000120,var_000140,2024-06-01T08:00:00,po_receipt,124,124,PO-2024-0006
mv_0000121,var_000141,2024-06-01T08:00:00,po_receipt,59,59,PO-2024-0006
mv_0000122,var_000142,2024-06-01T08:00:00,po_receipt,94,94,PO-2024-0006
mv_0000123,var_000143,2024-06-01T08:00:00,po_receipt,157,157,PO-2024-0006
mv_0000124,var_000144,2024-06-01T08:00:00,po_receipt,127,127,PO-2024-0006
mv_0000125,var_000145,2024-06-01T08:00:00,po_receipt,124,124,PO-2024-0006
mv_0000126,var_000149,2024-06-01T08:00:00,po_receipt,66,66,PO-2024-0006
mv_0000127,var_000150,2024-06-01T08:00:00,po_receipt,105,105,PO-2024-0006
mv_0000128,var_000151,2024-06-01T08:00:00,po_receipt,167,167,PO-2024-0006
mv_0000129,var_000152,2024-06-01T08:00:00,po_receipt,132,132,PO-2024-0006
mv_0000130,var_000153,2024-06-01T08:00:00,po_receipt,129,129,PO-2024-0006
mv_0000131,var_000154,2024-06-01T08:00:00,po_receipt,76,76,PO-2024-0006
mv_0000132,var_000155,2024-06-01T08:00:00,po_receipt,107,107,PO-2024-0006
mv_0000133,var_000156,2024-06-01T08:00:00,po_receipt,181,181,PO-2024-0006
mv_0000134,var_000157,2024-06-01T08:00:00,po_receipt,138,138,PO-2024-0006
mv_0000135,var_000158,2024-06-01T08:00:00,po_receipt,143,143,PO-2024-0006
mv_0000136,var_000041,2024-06-01T08:00:00,po_receipt,153,153,PO-2024-0007
mv_0000137,var_000042,2024-06-01T08:00:00,po_receipt,148,148,PO-2024-0007
mv_0000138,var_000043,2024-06-01T08:00:00,po_receipt,143,143,PO-2024-0007
mv_0000139,var_000118,2024-06-01T08:00:00,po_receipt,136,136,PO-2024-0007
mv_0000140,var_000119,2024-06-01T08:00:00,po_receipt,157,157,PO-2024-0007
mv_0000141,var_000120,2024-06-01T08:00:00,po_receipt,159,159,PO-2024-0007
mv_0000142,var_000146,2024-06-01T08:00:00,po_receipt,143,143,PO-2024-0007
mv_0000143,var_000147,2024-06-01T08:00:00,po_receipt,143,143,PO-2024-0007
mv_0000144,var_000148,2024-06-01T08:00:00,po_receipt,159,159,PO-2024-0007
mv_0000145,var_000044,2024-06-01T08:00:00,po_receipt,49,49,PO-2024-0008
mv_0000146,var_000045,2024-06-01T08:00:00,po_receipt,57,57,PO-2024-0008
mv_0000147,var_000046,2024-06-01T08:00:00,po_receipt,98,98,PO-2024-0008
mv_0000148,var_000047,2024-06-01T08:00:00,po_receipt,98,98,PO-2024-0008
mv_0000149,var_000048,2024-06-01T08:00:00,po_receipt,97,97,PO-2024-0008
mv_0000150,var_000049,2024-06-01T08:00:00,po_receipt,51,51,PO-2024-0008
mv_0000151,var_000050,2024-06-01T08:00:00,po_receipt,55,55,PO-2024-0008
mv_0000152,var_000051,2024-06-01T08:00:00,po_receipt,49,49,PO-2024-0008
mv_0000153,var_000052,2024-06-01T08:00:00,po_receipt,58,58,PO-2024-0008
mv_0000154,var_000053,2024-06-01T08:00:00,po_receipt,110,110,PO-2024-0008
mv_0000155,var_000054,2024-06-01T08:00:00,po_receipt,107,107,PO-2024-0008
mv_0000156,var_000055,2024-06-01T08:00:00,po_receipt,95,95,PO-2024-0008
mv_0000157,var_000056,2024-06-01T08:00:00,po_receipt,56,56,PO-2024-0008
mv_0000158,var_000057,2024-06-01T08:00:00,po_receipt,57,57,PO-2024-0008
mv_0000159,var_000159,2024-06-03T08:00:00,po_receipt,110,110,PO-2024-0014
mv_0000160,var_000160,2024-06-03T08:00:00,po_receipt,181,181,PO-2024-0014
mv_0000161,var_000161,2024-06-03T08:00:00,po_receipt,293,293,PO-2024-0014
mv_0000162,var_000162,2024-06-03T08:00:00,po_receipt,229,229,PO-2024-0014
mv_0000163,var_000163,2024-06-03T08:00:00,po_receipt,203,203,PO-2024-0014
mv_0000164,var_000164,2024-06-03T08:00:00,po_receipt,113,113,PO-2024-0014
mv_0000165,var_000165,2024-06-03T08:00:00,po_receipt,163,163,PO-2024-0014
mv_0000166,var_000166,2024-06-03T08:00:00,po_receipt,255,255,PO-2024-0014
mv_0000167,var_000167,2024-06-03T08:00:00,po_receipt,244,244,PO-2024-0014
mv_0000168,var_000168,2024-06-03T08:00:00,po_receipt,202,202,PO-2024-0014
mv_0000169,var_000169,2024-06-03T08:00:00,po_receipt,122,122,PO-2024-0014
mv_0000170,var_000170,2024-06-03T08:00:00,po_receipt,166,166,PO-2024-0014
mv_0000171,var_000171,2024-06-03T08:00:00,po_receipt,257,257,PO-2024-0014
mv_0000172,var_000172,2024-06-03T08:00:00,po_receipt,219,219,PO-2024-0014
mv_0000173,var_000173,2024-06-03T08:00:00,po_receipt,239,239,PO-2024-0014
mv_0000174,var_000177,2024-06-03T08:00:00,po_receipt,121,121,PO-2024-0014
mv_0000175,var_000178,2024-06-03T08:00:00,po_receipt,189,189,PO-2024-0014
mv_0000176,var_000179,2024-06-03T08:00:00,po_receipt,257,257,PO-2024-0014
mv_0000177,var_000180,2024-06-03T08:00:00,po_receipt,241,241,PO-2024-0014
mv_0000178,var_000181,2024-06-03T08:00:00,po_receipt,222,222,PO-2024-0014
mv_0000179,var_000182,2024-06-03T08:00:00,po_receipt,102,102,PO-2024-0014
mv_0000180,var_000183,2024-06-03T08:00:00,po_receipt,179,179,PO-2024-0014
mv_0000181,var_000184,2024-06-03T08:00:00,po_receipt,245,245,PO-2024-0014
mv_0000182,var_000185,2024-06-03T08:00:00,po_receipt,221,221,PO-2024-0014
mv_0000183,var_000186,2024-06-03T08:00:00,po_receipt,227,227,PO-2024-0014
mv_0000184,var_000187,2024-06-03T08:00:00,po_receipt,104,104,PO-2024-0014
mv_0000185,var_000188,2024-06-03T08:00:00,po_receipt,163,163,PO-2024-0014
mv_0000186,var_000189,2024-06-03T08:00:00,po_receipt,291,291,PO-2024-0014
mv_0000187,var_000190,2024-06-03T08:00:00,po_receipt,232,232,PO-2024-0014
mv_0000188,var_000191,2024-06-03T08:00:00,po_receipt,221,221,PO-2024-0014
mv_0000189,var_000192,2024-06-03T08:00:00,po_receipt,117,117,PO-2024-0014
mv_0000190,var_000193,2024-06-03T08:00:00,po_receipt,174,174,PO-2024-0014
mv_0000191,var_000194,2024-06-03T08:00:00,po_receipt,284,284,PO-2024-0014
mv_0000192,var_000195,2024-06-03T08:00:00,po_receipt,229,229,PO-2024-0014
mv_0000193,var_000196,2024-06-03T08:00:00,po_receipt,215,215,PO-2024-0014
mv_0000194,var_000197,2024-06-03T08:00:00,po_receipt,75,75,PO-2024-0014
mv_0000195,var_000198,2024-06-03T08:00:00,po_receipt,112,112,PO-2024-0014
mv_0000196,var_000199,2024-06-03T08:00:00,po_receipt,176,176,PO-2024-0014
mv_0000197,var_000200,2024-06-03T08:00:00,po_receipt,146,146,PO-2024-0014
mv_0000198,var_000201,2024-06-03T08:00:00,po_receipt,144,144,PO-2024-0014
mv_0000199,var_000202,2024-06-03T08:00:00,po_receipt,76,76,PO-2024-0014
mv_0000200,var_000203,2024-06-03T08:00:00,po_receipt,106,106,PO-2024-0014
mv_0000201,var_000204,2024-06-03T08:00:00,po_receipt,156,156,PO-2024-0014
mv_0000202,var_000205,2024-06-03T08:00:00,po_receipt,131,131,PO-2024-0014
mv_0000203,var_000206,2024-06-03T08:00:00,po_receipt,142,142,PO-2024-0014
mv_0000204,var_000207,2024-06-03T08:00:00,po_receipt,58,58,PO-2024-0014
mv_0000205,var_000208,2024-06-03T08:00:00,po_receipt,104,104,PO-2024-0014
mv_0000206,var_000209,2024-06-03T08:00:00,po_receipt,146,146,PO-2024-0014
mv_0000207,var_000210,2024-06-03T08:00:00,po_receipt,124,124,PO-2024-0014
mv_0000208,var_000211,2024-06-03T08:00:00,po_receipt,116,116,PO-2024-0014
mv_0000209,var_000212,2024-06-03T08:00:00,po_receipt,62,62,PO-2024-0014
mv_0000210,var_000213,2024-06-03T08:00:00,po_receipt,107,107,PO-2024-0014
mv_0000211,var_000214,2024-06-03T08:00:00,po_receipt,154,154,PO-2024-0014
mv_0000212,var_000215,2024-06-03T08:00:00,po_receipt,114,114,PO-2024-0014
mv_0000213,var_000216,2024-06-03T08:00:00,po_receipt,128,128,PO-2024-0014
mv_0000214,var_000174,2024-06-03T08:00:00,po_receipt,152,152,PO-2024-0015
mv_0000215,var_000175,2024-06-03T08:00:00,po_receipt,145,145,PO-2024-0015
mv_0000216,var_000176,2024-06-03T08:00:00,po_receipt,156,156,PO-2024-0015
mv_0000217,var_000217,2024-09-02T08:00:00,po_receipt,59,59,PO-2024-0001
mv_0000218,var_000218,2024-09-02T08:00:00,po_receipt,99,99,PO-2024-0001
mv_0000219,var_000219,2024-09-02T08:00:00,po_receipt,166,166,PO-2024-0001
mv_0000220,var_000220,2024-09-02T08:00:00,po_receipt,118,118,PO-2024-0001
mv_0000221,var_000221,2024-09-02T08:00:00,po_receipt,136,136,PO-2024-0001
mv_0000222,var_000222,2024-09-02T08:00:00,po_receipt,58,58,PO-2024-0001
mv_0000223,var_000223,2024-09-02T08:00:00,po_receipt,97,97,PO-2024-0001
mv_0000224,var_000224,2024-09-02T08:00:00,po_receipt,157,157,PO-2024-0001
mv_0000225,var_000225,2024-09-02T08:00:00,po_receipt,129,129,PO-2024-0001
mv_0000226,var_000226,2024-09-02T08:00:00,po_receipt,138,138,PO-2024-0001
mv_0000227,var_000227,2024-09-02T08:00:00,po_receipt,61,61,PO-2024-0001
mv_0000228,var_000228,2024-09-02T08:00:00,po_receipt,109,109,PO-2024-0001
mv_0000229,var_000229,2024-09-02T08:00:00,po_receipt,164,164,PO-2024-0001
mv_0000230,var_000230,2024-09-02T08:00:00,po_receipt,132,132,PO-2024-0001
mv_0000231,var_000231,2024-09-02T08:00:00,po_receipt,114,114,PO-2024-0001
mv_0000232,var_000232,2024-09-02T08:00:00,po_receipt,58,58,PO-2024-0001
mv_0000233,var_000233,2024-09-02T08:00:00,po_receipt,95,95,PO-2024-0001
mv_0000234,var_000234,2024-09-02T08:00:00,po_receipt,133,133,PO-2024-0001
mv_0000235,var_000235,2024-09-02T08:00:00,po_receipt,104,104,PO-2024-0001
mv_0000236,var_000236,2024-09-02T08:00:00,po_receipt,103,103,PO-2024-0001
mv_0000237,var_000237,2024-09-02T08:00:00,po_receipt,58,58,PO-2024-0001
mv_0000238,var_000238,2024-09-02T08:00:00,po_receipt,80,80,PO-2024-0001
mv_0000239,var_000239,2024-09-02T08:00:00,po_receipt,134,134,PO-2024-0001
mv_0000240,var_000240,2024-09-02T08:00:00,po_receipt,104,104,PO-2024-0001
mv_0000241,var_000241,2024-09-02T08:00:00,po_receipt,106,106,PO-2024-0001
mv_0000242,var_000242,2024-09-02T08:00:00,po_receipt,108,108,PO-2024-0001
mv_0000243,var_000243,2024-09-02T08:00:00,po_receipt,150,150,PO-2024-0001
mv_0000244,var_000244,2024-09-02T08:00:00,po_receipt,245,245,PO-2024-0001
mv_0000245,var_000245,2024-09-02T08:00:00,po_receipt,208,208,PO-2024-0001
mv_0000246,var_000246,2024-09-02T08:00:00,po_receipt,189,189,PO-2024-0001
mv_0000247,var_000247,2024-09-02T08:00:00,po_receipt,92,92,PO-2024-0001
mv_0000248,var_000248,2024-09-02T08:00:00,po_receipt,166,166,PO-2024-0001
mv_0000249,var_000249,2024-09-02T08:00:00,po_receipt,234,234,PO-2024-0001
mv_0000250,var_000250,2024-09-02T08:00:00,po_receipt,189,189,PO-2024-0001
mv_0000251,var_000251,2024-09-02T08:00:00,po_receipt,186,186,PO-2024-0001
mv_0000252,var_000252,2024-09-02T08:00:00,po_receipt,108,108,PO-2024-0001
mv_0000253,var_000253,2024-09-02T08:00:00,po_receipt,162,162,PO-2024-0001
mv_0000254,var_000254,2024-09-02T08:00:00,po_receipt,238,238,PO-2024-0001
mv_0000255,var_000255,2024-09-02T08:00:00,po_receipt,182,182,PO-2024-0001
mv_0000256,var_000256,2024-09-02T08:00:00,po_receipt,214,214,PO-2024-0001
mv_0000257,var_000257,2024-09-02T08:00:00,po_receipt,139,139,PO-2024-0002
mv_0000258,var_000258,2024-09-02T08:00:00,po_receipt,142,142,PO-2024-0002
mv_0000259,var_000259,2024-09-02T08:00:00,po_receipt,124,124,PO-2024-0002
mv_0000260,var_000274,2024-09-02T08:00:00,po_receipt,33,33,PO-2024-0002
mv_0000261,var_000275,2024-09-02T08:00:00,po_receipt,53,53,PO-2024-0002
mv_0000262,var_000276,2024-09-02T08:00:00,po_receipt,75,75,PO-2024-0002
mv_0000263,var_000277,2024-09-02T08:00:00,po_receipt,65,65,PO-2024-0002
mv_0000264,var_000278,2024-09-02T08:00:00,po_receipt,60,60,PO-2024-0002
mv_0000265,var_000279,2024-09-02T08:00:00,po_receipt,32,32,PO-2024-0002
mv_0000266,var_000280,2024-09-02T08:00:00,po_receipt,49,49,PO-2024-0002
mv_0000267,var_000281,2024-09-02T08:00:00,po_receipt,72,72,PO-2024-0002
mv_0000268,var_000282,2024-09-02T08:00:00,po_receipt,65,65,PO-2024-0002
mv_0000269,var_000283,2024-09-02T08:00:00,po_receipt,61,61,PO-2024-0002
mv_0000270,var_000260,2024-09-02T08:00:00,po_receipt,50,50,PO-2024-0003
mv_0000271,var_000261,2024-09-02T08:00:00,po_receipt,44,44,PO-2024-0003
mv_0000272,var_000262,2024-09-02T08:00:00,po_receipt,82,82,PO-2024-0003
mv_0000273,var_000263,2024-09-02T08:00:00,po_receipt,84,84,PO-2024-0003
mv_0000274,var_000264,2024-09-02T08:00:00,po_receipt,86,86,PO-2024-0003
mv_0000275,var_000265,2024-09-02T08:00:00,po_receipt,49,49,PO-2024-0003
mv_0000276,var_000266,2024-09-02T08:00:00,po_receipt,46,46,PO-2024-0003
mv_0000277,var_000267,2024-09-02T08:00:00,po_receipt,48,48,PO-2024-0003
mv_0000278,var_000268,2024-09-02T08:00:00,po_receipt,51,51,PO-2024-0003
mv_0000279,var_000269,2024-09-02T08:00:00,po_receipt,83,83,PO-2024-0003
mv_0000280,var_000270,2024-09-02T08:00:00,po_receipt,92,92,PO-2024-0003
mv_0000281,var_000271,2024-09-02T08:00:00,po_receipt,87,87,PO-2024-0003
mv_0000282,var_000272,2024-09-02T08:00:00,po_receipt,46,46,PO-2024-0003
mv_0000283,var_000273,2024-09-02T08:00:00,po_receipt,47,47,PO-2024-0003
mv_0000284,var_000294,2024-11-15T08:00:00,po_receipt,60,60,PO-2024-0018
mv_0000285,var_000295,2024-11-15T08:00:00,po_receipt,87,87,PO-2024-0018
mv_0000286,var_000296,2024-11-15T08:00:00,po_receipt,122,122,PO-2024-0018
mv_0000287,var_000297,2024-11-15T08:00:00,po_receipt,101,101,PO-2024-0018
mv_0000288,var_000298,2024-11-15T08:00:00,po_receipt,118,118,PO-2024-0018
mv_0000289,var_000299,2024-11-15T08:00:00,po_receipt,57,57,PO-2024-0018
mv_0000290,var_000300,2024-11-15T08:00:00,po_receipt,83,83,PO-2024-0018
mv_0000291,var_000301,2024-11-15T08:00:00,po_receipt,144,144,PO-2024-0018
mv_0000292,var_000302,2024-11-15T08:00:00,po_receipt,113,113,PO-2024-0018
mv_0000293,var_000303,2024-11-15T08:00:00,po_receipt,114,114,PO-2024-0018
mv_0000294,var_000304,2024-11-15T08:00:00,po_receipt,53,53,PO-2024-0018
mv_0000295,var_000305,2024-11-15T08:00:00,po_receipt,70,70,PO-2024-0018
mv_0000296,var_000306,2024-11-15T08:00:00,po_receipt,125,125,PO-2024-0018
mv_0000297,var_000307,2024-11-15T08:00:00,po_receipt,107,107,PO-2024-0018
mv_0000298,var_000308,2024-11-15T08:00:00,po_receipt,93,93,PO-2024-0018
mv_0000299,var_000309,2024-11-15T08:00:00,po_receipt,49,49,PO-2024-0018
mv_0000300,var_000310,2024-11-15T08:00:00,po_receipt,76,76,PO-2024-0018
mv_0000301,var_000311,2024-11-15T08:00:00,po_receipt,106,106,PO-2024-0018
mv_0000302,var_000312,2024-11-15T08:00:00,po_receipt,98,98,PO-2024-0018
mv_0000303,var_000313,2024-11-15T08:00:00,po_receipt,105,105,PO-2024-0018
mv_0000304,var_000314,2024-11-15T08:00:00,po_receipt,81,81,PO-2024-0018
mv_0000305,var_000315,2024-11-15T08:00:00,po_receipt,131,131,PO-2024-0018
mv_0000306,var_000316,2024-11-15T08:00:00,po_receipt,211,211,PO-2024-0018
mv_0000307,var_000317,2024-11-15T08:00:00,po_receipt,159,159,PO-2024-0018
mv_0000308,var_000318,2024-11-15T08:00:00,po_receipt,166,166,PO-2024-0018
mv_0000309,var_000319,2024-11-15T08:00:00,po_receipt,86,86,PO-2024-0018
mv_0000310,var_000320,2024-11-15T08:00:00,po_receipt,147,147,PO-2024-0018
mv_0000311,var_000321,2024-11-15T08:00:00,po_receipt,200,200,PO-2024-0018
mv_0000312,var_000322,2024-11-15T08:00:00,po_receipt,163,163,PO-2024-0018
mv_0000313,var_000323,2024-11-15T08:00:00,po_receipt,160,160,PO-2024-0018
mv_0000314,var_000284,2024-11-15T08:00:00,po_receipt,29,29,PO-2024-0019
mv_0000315,var_000285,2024-11-15T08:00:00,po_receipt,41,41,PO-2024-0019
mv_0000316,var_000286,2024-11-15T08:00:00,po_receipt,65,65,PO-2024-0019
