ticket_id,customer_id,created_at,channel,status,priority,category,subject,related_order_id,related_product_id,first_response_at,resolved_at,resolution_time_minutes,satisfaction_rating,resolved_by
tkt_00015,cust_010634,2026-01-23T16:14:40,chat,resolved,normal,returns_exchanges,Want to return Zip Hoodie,ord_039886,prod_00033,2026-01-23T10:04:00,2026-01-23T10:29:00,29,2,bot
tkt_00016,cust_011867,2025-10-14T20:51:38,instagram_dm,resolved,normal,product_quality,Stitching coming loose,ord_030778,prod_00007,2025-10-14T10:04:00,2025-10-14T10:06:00,6,,bot
tkt_00017,cust_016934,2025-12-09T17:30:51,email,resolved,normal,returns_exchanges,Return label not working,ord_035206,prod_00037,2025-12-09T12:46:00,2025-12-09T14:57:00,297,,human
tkt_00018,cust_010730,2025-04-08T14:02:15,chat,resolved,normal,order_status,Where's my order?,ord_019378,prod_00032,2025-04-08T10:04:00,2025-04-08T10:05:00,5,,bot
tkt_00019,cust_001755,2024-12-11T11:06:09,instagram_dm,resolved,normal,discount_code,Applied wrong code,ord_011192,prod_00010,2024-12-11T10:03:00,2024-12-11T10:05:00,5,,bot
tkt_00020,cust_005597,2024-12-06T16:02:30,chat,resolved,high,sizing_fit,Quilted Overshirt doesn't fit right,ord_010527,prod_00027,2024-12-06T11:26:00,2024-12-06T19:53:00,593,5,human
tkt_00021,cust_008913,2026-01-11T15:06:58,email,resolved,normal,sizing_fit,Sizing question about Womens Logo Cap,ord_038816,prod_00049,2026-01-11T13:45:00,2026-01-11T23:40:00,1000,,human
tkt_00022,cust_018694,2026-01-19T16:02:45,email,resolved,high,other,Collaboration enquiry,ord_039840,prod_00027,2026-01-19T13:28:00,2026-01-19T11:12:00,72,,human
tkt_00023,cust_001089,2025-07-01T13:32:51,email,closed,normal,product_quality,Print peeling,ord_024137,prod_00019,2025-07-01T10:44:00,2025-07-01T20:58:00,658,,human
tkt_00024,cust_017955,2025-12-28T11:29:05,email,resolved,normal,product_quality,Print peeling,ord_037767,prod_00043,2025-12-28T10:04:00,2025-12-28T10:16:00,16,,bot
tkt_00025,cust_007237,2024-12-11T17:32:35,email,resolved,normal,returns_exchanges,How do I return?,ord_011445,prod_00007,2024-12-11T10:02:00,2024-12-11T10:07:00,7,4,bot
tkt_00026,cust_012851,2025-10-15T20:45:27,email,resolved,normal,product_quality,Print peeling,ord_030871,prod_00044,2025-10-15T10:03:00,2025-10-15T10:25:00,25,,bot
tkt_00027,cust_008539,2026-01-10T16:20:21,chat,resolved,high,order_status,No delivery update for Womens Wide-Leg Sweatpant,ord_038565,prod_00048,2026-01-10T12:52:00,2026-01-10T23:23:00,983,5,human
tkt_00028,cust_015644,2025-11-02T12:19:18,chat,resolved,high,order_status,Tracking not updating,ord_031690,prod_00003,2025-11-02T10:01:00,2025-11-02T10:21:00,21,,bot
tkt_00029,cust_001438,2024-09-11T10:37:34,email,resolved,normal,returns_exchanges,Want to return Logo Cap,ord_004556,prod_00004,2024-09-11T11:18:00,2024-09-11T23:34:00,1294,,human
tkt_00030,cust_006761,2025-02-07T14:48:10,email,resolved,normal,product_quality,Issue with Varsity Tee quality,ord_015502,prod_00024,2025-02-07T12:26:00,2025-02-07T23:51:00,951,5,human
tkt_00031,cust_003111,2024-09-05T09:11:44,email,resolved,normal,sizing_fit,Washed Logo Tee doesn't fit right,ord_004082,prod_00016,2024-09-05T10:02:00,2024-09-05T10:21:00,21,,bot
tkt_00032,cust_002149,2024-08-02T20:01:00,chat,closed,normal,discount_code,Code expired before I could use it,ord_002545,prod_00006,2024-08-02T10:03:00,2024-08-02T10:09:00,9,,bot
tkt_00033,cust_006156,2024-12-23T14:44:41,email,resolved,high,returns_exchanges,Want to return Logo Cap,ord_012060,prod_00004,2024-12-23T10:04:00,2024-12-23T10:05:00,5,,bot
tkt_00034,cust_007677,2024-12-24T10:09:40,email,resolved,normal,other,Question about your brand,ord_012379,prod_00001,2024-12-24T10:02:00,2024-12-24T10:16:00,16,,bot
tkt_00035,cust_008176,2025-04-23T19:18:53,email,resolved,normal,order_status,Tracking not updating,ord_020348,prod_00014,2025-04-23T10:04:00,2025-04-23T10:19:00,19,,bot
tkt_00036,cust_001999,2026-04-01T12:22:40,email,closed,normal,sizing_fit,Sizing question about Womens Spring Tee,ord_044816,prod_00060,2026-04-01T10:03:00,2026-04-01T10:11:00,11,4,bot
tkt_00037,cust_001720,2025-11-14T09:13:50,email,resolved,high,order_status,Order hasn't arrived,ord_032855,prod_00038,2025-11-14T11:31:00,2025-11-14T23:04:00,844,,human
tkt_00038,cust_016938,2025-11-28T17:29:50,instagram_dm,resolved,normal,product_quality,Colour faded after wash,ord_035210,prod_00004,2025-11-28T11:19:00,2025-11-28T23:51:00,1311,2,human
tkt_00039,cust_015888,2026-01-12T13:20:53,email,resolved,high,order_status,No delivery update for Washed Logo Tee,ord_038733,prod_00016,2026-01-12T10:03:00,2026-01-12T10:14:00,14,4,bot
tkt_00040,cust_001255,2024-12-04T14:16:51,chat,resolved,normal,order_status,Tracking not updating,ord_011080,prod_00031,2024-12-04T11:06:00,2024-12-04T23:28:00,808,3,human
tkt_00041,cust_006927,2024-12-05T09:32:44,chat,closed,normal,sizing_fit,Thermal Sweatpants doesn't fit right,ord_010915,prod_00030,2024-12-05T13:01:00,2024-12-05T23:36:00,1116,5,human
tkt_00042,cust_009477,2025-05-09T21:52:01,instagram_dm,resolved,low,order_status,Tracking not updating,ord_021273,prod_00006,2025-05-09T12:51:00,2025-05-09T18:38:00,518,,human
tkt_00043,cust_017303,2026-01-06T15:24:37,email,resolved,normal,drop_restock,Next drop date?,ord_038126,prod_00051,2026-01-06T10:01:00,2026-01-06T10:07:00,7,,bot
tkt_00044,cust_020445,2026-03-31T17:38:31,instagram_dm,resolved,normal,order_status,No delivery update for Mid Runner Trainer,ord_044520,prod_00026,2026-03-31T10:04:00,2026-03-31T10:23:00,23,,bot
tkt_00045,cust_012346,2025-06-08T11:03:16,instagram_dm,resolved,high,sizing_fit,Staple Tee doesn't fit right,ord_022982,prod_00006,2025-06-08T10:04:00,2025-06-08T10:13:00,13,,bot
tkt_00046,cust_021018,2026-04-16T19:28:02,email,resolved,low,sizing_fit,Size exchange needed,ord_046010,prod_00019,2026-04-16T10:04:00,2026-04-16T10:22:00,22,,bot
tkt_00047,cust_007752,2026-04-16T12:00:01,instagram_dm,resolved,low,drop_restock,Restock notification,ord_046413,prod_00001,2026-04-16T13:15:00,2026-04-16T22:26:00,746,4,human
tkt_00048,cust_003862,2024-09-19T21:09:29,chat,resolved,normal,order_status,Order hasn't arrived,ord_005342,prod_00019,2024-09-19T10:02:00,2024-09-19T10:08:00,8,,bot
tkt_00049,cust_004253,2024-10-03T10:58:00,email,resolved,high,sizing_fit,Fleece Hoodie doesn't fit right,ord_006063,prod_00022,2024-10-03T10:41:00,2024-10-03T23:34:00,1294,5,human
tkt_00050,cust_020913,2026-04-24T13:10:06,email,resolved,normal,returns_exchanges,Exchange for different size,ord_047252,prod_00028,2026-04-24T10:02:00,2026-04-24T10:12:00,12,,bot
tkt_00051,cust_006811,2025-01-10T10:34:56,instagram_dm,resolved,normal,discount_code,Can I get a code?,ord_013153,prod_00003,2025-01-10T10:04:00,2025-01-10T10:16:00,16,,bot
tkt_00052,cust_008127,2025-01-09T21:30:12,chat,resolved,high,order_status,Tracking not updating,ord_013379,prod_00028,2025-01-09T12:19:00,2025-01-09T15:27:00,327,,human
tkt_00053,cust_009602,2025-03-06T16:56:43,email,resolved,low,order_status,Tracking not updating,ord_016802,prod_00006,2025-03-06T10:35:00,2025-03-06T16:15:00,375,5,human
tkt_00054,cust_002408,2026-03-08T10:30:18,instagram_dm,resolved,high,product_quality,Colour faded after wash,ord_043481,prod_00016,2026-03-08T10:02:00,2026-03-08T10:16:00,16,1,bot
tkt_00055,cust_011705,2025-05-21T15:53:08,chat,resolved,low,order_status,Where's my order?,ord_021527,prod_00024,2025-05-21T12:08:00,2025-05-21T23:17:00,1337,2,human
tkt_00056,cust_013768,2025-08-27T12:12:44,email,resolved,normal,order_status,No delivery update for Heavyweight Hoodie,ord_027281,prod_00010,2025-08-27T12:35:00,2025-08-27T21:14:00,674,,human
tkt_00057,cust_001183,2024-06-28T08:36:07,chat,resolved,normal,product_quality,Colour faded after wash,ord_001410,prod_00015,2024-06-28T10:02:00,2024-06-28T10:23:00,23,,bot
tkt_00058,cust_000636,2024-08-23T16:12:07,chat,resolved,low,returns_exchanges,How do I return?,ord_003598,prod_00019,2024-08-23T10:04:00,2024-08-23T10:26:00,26,,bot
tkt_00059,cust_009032,2025-10-11T21:55:22,email,resolved,normal,order_status,Order hasn't arrived,ord_030166,prod_00019,2025-10-11T10:04:00,2025-10-11T10:25:00,25,5,bot
tkt_00060,cust_021943,2026-05-22T15:38:01,email,resolved,normal,order_status,Order hasn't arrived,ord_048484,prod_00033,2026-05-22T13:37:00,2026-05-22T21:49:00,709,5,human
tkt_00061,cust_016723,2025-12-06T19:14:45,email,resolved,high,drop_restock,Will there be more sizes?,ord_034631,prod_00012,2025-12-06T10:50:00,2025-12-06T12:31:00,151,4,human
tkt_00062,cust_007445,2025-08-06T11:34:34,instagram_dm,resolved,high,order_status,No delivery update for Track Hoodie,ord_026121,prod_00015,2025-08-06T10:57:00,2025-08-06T14:05:00,245,,human
tkt_00063,cust_005076,2025-11-10T10:18:53,email,resolved,normal,order_status,No delivery update for Structured Cap,ord_033030,prod_00045,2025-11-10T10:02:00,2025-11-10T10:12:00,12,4,bot
tkt_00064,cust_005941,2024-11-23T12:22:53,email,resolved,low,order_status,Order hasn't arrived,ord_009134,prod_00020,2024-11-23T10:02:00,2024-11-23T10:15:00,15,5,bot
tkt_00065,cust_003095,2024-11-18T09:27:49,email,resolved,low,order_status,Order hasn't arrived,ord_009105,prod_00013,2024-11-18T10:03:00,2024-11-18T10:09:00,9,1,bot
tkt_00066,cust_000299,2024-11-01T13:59:51,email,resolved,normal,discount_code,Can I get a code?,ord_007930,prod_00024,2024-11-01T10:01:00,2024-11-01T10:28:00,28,,bot
tkt_00067,cust_006681,2024-12-07T09:45:53,chat,resolved,normal,discount_code,Can I get a code?,ord_010477,prod_00012,2024-12-07T10:03:00,2024-12-07T10:07:00,7,,bot
tkt_00068,cust_016265,2025-11-26T08:40:48,email,resolved,high,other,Gift wrapping?,ord_033429,prod_00016,2025-11-26T11:46:00,2025-11-26T23:14:00,794,3,human
tkt_00069,cust_009103,2025-02-15T10:46:10,email,resolved,normal,sizing_fit,Track Hoodie doesn't fit right,ord_015590,prod_00015,2025-02-15T10:03:00,2025-02-15T10:15:00,15,,bot
tkt_00070,cust_000434,2024-06-09T17:06:33,email,resolved,high,returns_exchanges,How do I return?,ord_000512,prod_00001,2024-06-09T10:44:00,2024-06-09T23:38:00,818,4,human
tkt_00071,cust_008941,2025-02-03T17:40:23,email,resolved,normal,order_status,Where's my order?,ord_015227,prod_00008,2025-02-03T10:04:00,2025-02-03T10:19:00,19,,bot
tkt_00072,cust_011174,2025-05-07T09:16:57,chat,resolved,low,returns_exchanges,Return label not working,ord_020387,prod_00019,2025-05-07T10:02:00,2025-05-07T10:15:00,15,,bot
tkt_00073,cust_002868,2024-12-27T15:38:05,email,resolved,high,sizing_fit,Size exchange needed,ord_012887,prod_00014,2024-12-27T13:14:00,2024-12-27T23:13:00,1273,,human
tkt_00074,cust_017028,2025-12-08T10:02:38,email,resolved,high,order_status,Where's my order?,ord_035442,prod_00016,2025-12-08T10:51:00,2025-12-08T23:32:00,1292,4,human
tkt_00075,cust_008019,2025-04-10T18:38:59,email,closed,normal,drop_restock,Next drop date?,ord_019121,prod_00022,2025-04-10T10:04:00,2025-04-10T10:11:00,11,5,bot
tkt_00076,cust_018172,2026-01-02T19:42:25,email,resolved,normal,order_status,Order hasn't arrived,ord_038379,prod_00048,2026-01-02T13:07:00,2026-01-02T22:55:00,775,,human
tkt_00077,cust_009046,2026-04-11T11:29:32,chat,closed,high,returns_exchanges,Return label not working,ord_046267,prod_00031,2026-04-11T13:24:00,2026-04-11T16:37:00,397,,human
tkt_00078,cust_005819,2024-11-23T21:55:20,email,resolved,normal,order_status,Where's my order?,ord_009104,prod_00005,2024-11-23T10:04:00,2024-11-23T10:17:00,17,,bot
tkt_00079,cust_000791,2024-06-19T16:51:22,email,resolved,normal,order_status,Tracking not updating,ord_000961,prod_00006,2024-06-19T12:42:00,2024-06-19T23:13:00,1273,,human
tkt_00080,cust_004479,2024-10-10T20:14:01,chat,resolved,high,returns_exchanges,Exchange for different size,ord_006458,prod_00014,2024-10-10T10:04:00,2024-10-10T10:25:00,25,,bot
tkt_00081,cust_002918,2024-08-21T18:04:01,chat,resolved,low,discount_code,Discount code not working,ord_003717,prod_00012,2024-08-21T12:18:00,2024-08-21T18:49:00,529,,human
tkt_00082,cust_018616,2026-01-11T17:23:36,chat,resolved,normal,sizing_fit,Size exchange needed,ord_039598,prod_00034,2026-01-11T11:56:00,2026-01-11T16:54:00,414,4,human
tkt_00083,cust_004106,2024-10-27T09:52:19,instagram_dm,resolved,normal,discount_code,Applied wrong code,ord_007141,prod_00004,2024-10-27T10:01:00,2024-10-27T10:19:00,19,,bot
tkt_00084,cust_004750,2024-10-16T10:49:32,email,resolved,normal,other,Question about your brand,ord_006949,prod_00006,2024-10-16T13:03:00,2024-10-16T21:56:00,716,,human
tkt_00085,cust_001185,2025-10-08T12:37:26,email,resolved,normal,product_quality,Colour faded after wash,ord_030131,prod_00037,2025-10-08T10:02:00,2025-10-08T10:28:00,28,2,bot
tkt_00086,cust_008279,2025-01-13T19:15:53,chat,resolved,normal,discount_code,Discount code not working,ord_013765,prod_00009,2025-01-13T10:02:00,2025-01-13T10:23:00,23,3,bot
tkt_00087,cust_007802,2024-12-31T17:55:07,email,resolved,normal,order_status,Where's my order?,ord_012620,prod_00003,2024-12-31T10:04:00,2024-12-31T10:14:00,14,,bot
tkt_00088,cust_021159,2026-05-11T09:28:54,chat,resolved,normal,sizing_fit,Essential Relaxed Tee doesn't fit right,ord_047571,prod_00046,2026-05-11T12:33:00,2026-05-11T23:35:00,1115,,human
tkt_00089,cust_000446,2024-09-03T17:24:15,chat,resolved,normal,other,Question about your brand,ord_004758,prod_00004,2024-09-03T10:04:00,2024-09-03T10:25:00,25,,bot
tkt_00091,cust_006201,2024-11-27T21:00:16,instagram_dm,resolved,normal,drop_restock,When will Classic Hoodie restock?,ord_009610,prod_00002,2024-11-27T12:17:00,2024-11-27T18:01:00,481,,human
tkt_00092,cust_018258,2026-02-14T08:58:08,email,resolved,low,other,Question about your brand,ord_041563,prod_00050,2026-02-14T12:46:00,2026-02-14T23:25:00,985,,human
tkt_00093,cust_000043,2025-02-26T19:37:05,email,resolved,normal,order_status,Order hasn't arrived,ord_016174,prod_00031,2025-02-26T11:34:00,2025-02-26T18:05:00,485,5,human
tkt_00094,cust_003657,2025-06-30T16:15:45,email,resolved,normal,sizing_fit,Is the Staple Tee true to size?,ord_023756,prod_00006,2025-06-30T10:44:00,2025-06-30T17:10:00,430,,human
tkt_00095,cust_017887,2026-02-09T10:43:06,email,resolved,normal,product_quality,Issue with Relaxed Hoodie quality,ord_041450,prod_00007,2026-02-09T10:53:00,2026-02-09T22:16:00,736,,human
tkt_00096,cust_012939,2025-07-14T17:27:00,chat,resolved,low,product_quality,Issue with Puffer Jacket quality,ord_024559,prod_00028,2025-07-14T13:28:00,2025-07-14T23:57:00,1317,4,human
tkt_00097,cust_021269,2026-04-26T18:30:29,chat,resolved,normal,order_status,Tracking not updating,ord_046672,prod_00001,2026-04-26T12:50:00,2026-04-26T18:00:00,480,4,human
tkt_00098,cust_020047,2026-03-05T08:06:34,email,closed,normal,product_quality,Issue with Court Trainer quality,ord_043362,prod_00005,2026-03-05T12:15:00,2026-03-05T14:02:00,242,,human
tkt_00099,cust_004483,2025-07-21T20:26:10,email,resolved,low,returns_exchanges,How do I return?,ord_025482,prod_00010,2025-07-21T10:02:00,2025-07-21T10:26:00,26,4,bot
tkt_00100,cust_015410,2025-10-24T12:59:31,email,resolved,high,order_status,Where's my order?,ord_031046,prod_00033,2025-10-24T10:01:00,2025-10-24T10:24:00,24,,bot
tkt_00101,cust_013868,2025-08-26T14:26:24,email,resolved,normal,order_status,Order hasn't arrived,ord_026957,prod_00006,2025-08-26T10:03:00,2025-08-26T10:09:00,9,,bot
tkt_00102,cust_003933,2024-09-17T16:39:29,email,resolved,normal,returns_exchanges,Want to return Utility Sweatpants,ord_005473,prod_00013,2024-09-17T10:01:00,2024-09-17T10:05:00,5,,bot
tkt_00103,cust_014017,2025-10-30T11:53:44,chat,resolved,normal,order_status,Order hasn't arrived,ord_031498,prod_00037,2025-10-30T13:16:00,2025-10-30T12:35:00,155,,human
tkt_00104,cust_016325,2025-12-02T18:33:53,email,resolved,low,sizing_fit,Size exchange needed,ord_034138,prod_00028,2025-12-02T11:14:00,2025-12-02T23:11:00,1031,3,human
tkt_00105,cust_020382,2026-04-17T21:15:31,instagram_dm,resolved,low,returns_exchanges,Return label not working,ord_046030,prod_00055,2026-04-17T12:13:00,2026-04-17T18:43:00,523,,human
tkt_00106,cust_006847,2024-12-01T17:09:19,email,resolved,normal,returns_exchanges,Return label not working,ord_010781,prod_00012,2024-12-01T10:01:00,2024-12-01T10:05:00,5,,bot
tkt_00107,cust_012092,2025-05-30T18:50:49,chat,resolved,normal,order_status,Order hasn't arrived,ord_022355,prod_00010,2025-05-30T11:51:00,2025-05-30T19:47:00,587,,human
tkt_00108,cust_006849,2025-01-11T21:56:09,chat,resolved,high,returns_exchanges,Return label not working,ord_014152,prod_00013,2025-01-11T10:02:00,2025-01-11T10:19:00,19,,bot
tkt_00109,cust_005499,2024-11-17T14:05:51,email,resolved,high,sizing_fit,Sizing question about Track Hoodie,ord_008346,prod_00015,2024-11-17T10:04:00,2024-11-17T10:17:00,17,4,bot
tkt_00110,cust_002159,2024-07-26T13:08:51,chat,resolved,normal,discount_code,Discount code not working,ord_002558,prod_00020,2024-07-26T12:55:00,2024-07-26T23:57:00,1017,,human
tkt_00111,cust_008314,2025-02-06T12:13:45,email,resolved,high,order_status,Order hasn't arrived,ord_015361,prod_00006,2025-02-06T10:02:00,2025-02-06T10:11:00,11,1,bot
tkt_00112,cust_009187,2025-02-09T14:56:16,chat,resolved,normal,order_status,Tracking not updating,ord_015778,prod_00031,2025-02-09T12:48:00,2025-02-09T20:58:00,658,5,human
tkt_00113,cust_016702,2025-11-27T21:25:42,email,resolved,normal,drop_restock,Will there be more sizes?,ord_034576,prod_00038,2025-11-27T10:01:00,2025-11-27T10:26:00,26,,bot
tkt_00114,cust_007185,2024-12-07T20:18:46,email,resolved,low,sizing_fit,Staple Tee doesn't fit right,ord_011354,prod_00006,2024-12-07T12:08:00,2024-12-07T19:42:00,582,,human
tkt_00115,cust_017848,2026-01-10T20:34:49,chat,resolved,normal,product_quality,Colour faded after wash,ord_039705,prod_00024,2026-01-10T10:01:00,2026-01-10T10:26:00,26,1,bot
tkt_00116,cust_011079,2026-05-23T20:08:22,email,resolved,high,discount_code,Discount code not working,ord_048526,prod_00029,2026-05-23T10:01:00,2026-05-23T10:08:00,8,4,bot
tkt_00117,cust_009341,2025-02-23T13:01:21,email,closed,low,drop_restock,Restock notification,ord_016148,prod_00008,2025-02-23T11:18:00,2025-02-23T12:57:00,177,,human
tkt_00118,cust_013232,2025-07-15T13:55:32,chat,resolved,low,discount_code,Code expired before I could use it,ord_025266,prod_00032,2025-07-15T10:02:00,2025-07-15T10:28:00,28,,bot
tkt_00119,cust_009976,2026-02-06T20:54:37,chat,closed,normal,discount_code,Can I get a code?,ord_041442,prod_00027,2026-02-06T10:54:00,2026-02-06T23:51:00,831,,human
tkt_00120,cust_013865,2025-08-26T08:43:26,chat,resolved,normal,order_status,Where's my order?,ord_026949,prod_00005,2025-08-26T13:36:00,2025-08-26T16:21:00,381,,human
tkt_00121,cust_009339,2025-04-16T17:37:16,email,closed,normal,returns_exchanges,Return label not working,ord_019482,prod_00031,2025-04-16T10:03:00,2025-04-16T10:25:00,25,5,bot
tkt_00122,cust_020630,2026-04-01T08:08:13,chat,resolved,low,order_status,Tracking not updating,ord_045049,prod_00037,2026-04-01T10:02:00,2026-04-01T10:13:00,13,,bot
tkt_00123,cust_018474,2026-02-09T19:43:17,instagram_dm,resolved,normal,returns_exchanges,Want to return Womens Boxy Tee,ord_041131,prod_00052,2026-02-09T10:02:00,2026-02-09T10:22:00,22,2,bot
tkt_00124,cust_015389,2025-10-19T10:12:58,email,resolved,high,order_status,Tracking not updating,ord_030976,prod_00015,2025-10-19T10:54:00,2025-10-19T17:31:00,451,,human
tkt_00125,cust_009654,2025-03-07T10:27:38,chat,resolved,low,order_status,Where's my order?,ord_016934,prod_00020,2025-03-07T12:22:00,2025-03-07T23:08:00,848,,human
tkt_00126,cust_009002,2025-03-05T21:27:35,email,closed,high,returns_exchanges,Want to return Mid Runner Trainer,ord_016482,prod_00026,2025-03-05T10:03:00,2025-03-05T10:17:00,17,,bot
tkt_00127,cust_014085,2025-09-07T13:12:36,chat,closed,low,drop_restock,When will Slim Sweatpants restock?,ord_027502,prod_00008,2025-09-07T13:24:00,2025-09-07T11:00:00,60,,human
tkt_00128,cust_005225,2024-11-05T10:32:36,email,resolved,low,sizing_fit,Size exchange needed,ord_007822,prod_00008,2024-11-05T10:02:00,2024-11-05T10:13:00,13,,bot
tkt_00129,cust_020027,2026-04-20T13:51:29,email,resolved,normal,order_status,No delivery update for Womens Fitted Tee,ord_046482,prod_00051,2026-04-20T10:01:00,2026-04-20T10:06:00,6,,bot
tkt_00130,cust_001622,2024-07-14T18:00:12,instagram_dm,resolved,normal,order_status,Tracking not updating,ord_001927,prod_00004,2024-07-14T10:04:00,2024-07-14T10:11:00,11,,bot
tkt_00131,cust_015817,2025-10-30T15:10:09,chat,resolved,normal,returns_exchanges,How do I return?,ord_032230,prod_00040,2025-10-30T10:01:00,2025-10-30T10:14:00,14,,bot
tkt_00132,cust_008734,2025-03-03T12:43:37,chat,resolved,low,sizing_fit,Is the Heritage Tee true to size?,ord_017232,prod_00012,2025-03-03T10:50:00,2025-03-03T23:07:00,1147,,human
tkt_00133,cust_017811,2026-01-26T16:25:54,chat,resolved,high,drop_restock,Will there be more sizes?,ord_040715,prod_00057,2026-01-26T11:42:00,2026-01-26T13:52:00,232,,human
tkt_00134,cust_004089,2024-11-03T19:12:31,instagram_dm,resolved,normal,sizing_fit,Sizing question about Relaxed Hoodie,ord_008217,prod_00007,2024-11-03T13:05:00,2024-11-03T11:16:00,76,,human
tkt_00135,cust_006164,2024-11-23T15:10:51,email,resolved,low,discount_code,Code expired before I could use it,ord_009539,prod_00001,2024-11-23T12:57:00,2024-11-23T11:19:00,79,,human
tkt_00136,cust_002397,2025-04-14T18:04:39,email,resolved,low,drop_restock,When will Staple Tee restock?,ord_019571,prod_00006,2025-04-14T13:46:00,2025-04-14T17:21:00,441,,human
tkt_00137,cust_001358,2024-06-30T11:32:18,instagram_dm,resolved,normal,returns_exchanges,Return label not working,ord_001613,prod_00018,2024-06-30T10:03:00,2024-06-30T10:17:00,17,,bot
tkt_00138,cust_006917,2024-12-04T19:47:04,chat,resolved,normal,product_quality,Print peeling,ord_010898,prod_00018,2024-12-04T10:04:00,2024-12-04T10:25:00,25,5,bot
tkt_00139,cust_012597,2025-11-27T18:26:31,chat,closed,normal,sizing_fit,Is the Track Hoodie true to size?,ord_034285,prod_00015,2025-11-27T11:40:00,2025-11-27T17:21:00,441,3,human
tkt_00140,cust_014487,2025-12-11T14:08:34,email,resolved,normal,drop_restock,Next drop date?,ord_035066,prod_00007,2025-12-11T11:30:00,2025-12-11T23:33:00,1113,,human
tkt_00141,cust_006638,2025-04-07T11:46:41,email,closed,high,drop_restock,Will there be more sizes?,ord_018885,prod_00029,2025-04-07T10:02:00,2025-04-07T10:20:00,20,1,bot
tkt_00142,cust_019029,2026-01-31T20:26:24,email,resolved,normal,returns_exchanges,Return label not working,ord_041012,prod_00009,2026-01-31T10:02:00,2026-01-31T10:05:00,5,4,bot
tkt_00143,cust_014722,2025-09-19T18:34:31,email,resolved,normal,product_quality,Issue with Tech Runner Trainer quality,ord_029218,prod_00039,2025-09-19T10:02:00,2025-09-19T10:18:00,18,,bot
tkt_00144,cust_013576,2025-08-01T09:12:47,email,resolved,normal,returns_exchanges,Exchange for different size,ord_026138,prod_00009,2025-08-01T10:04:00,2025-08-01T10:07:00,7,4,bot
tkt_00145,cust_004302,2025-08-10T14:07:31,email,resolved,normal,order_status,Tracking not updating,ord_026083,prod_00020,2025-08-10T10:03:00,2025-08-10T10:24:00,24,,bot
tkt_00146,cust_011002,2025-06-09T10:04:01,email,resolved,low,sizing_fit,Brushed Sweatpants doesn't fit right,ord_022475,prod_00023,2025-06-09T10:03:00,2025-06-09T10:22:00,22,,bot
