order_id,order_number,customer_id,created_at,currency,subtotal,total_discounts,total_shipping,total_tax,total_price,financial_status,fulfillment_status,utm_source,utm_medium,utm_campaign,landing_site,referring_site,tags,discount_code
ord_000015,1015,cust_000014,2024-06-01T11:53:24,GBP,164.16,0,0,32.83,196.99,partially_refunded,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,
ord_000016,1016,cust_000015,2024-06-01T21:31:18,GBP,133.33,0,0,26.67,160.00,paid,fulfilled,direct,none,,/,,,
ord_000017,1017,cust_000016,2024-06-01T18:37:11,GBP,41.67,4.17,4.95,8.49,50.94,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,WELCOME10
ord_000018,1018,cust_000017,2024-06-01T22:06:26,GBP,204.17,0,0,0,204.17,paid,fulfilled,direct,none,,/,,,
ord_000019,1019,cust_000018,2024-06-01T08:44:39,GBP,40.00,0,9.95,0,49.95,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000020,1020,cust_000013,2024-06-01T16:43:01,GBP,160.00,0,0,0,160.00,partially_refunded,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,
ord_000021,1021,cust_000019,2024-06-01T13:10:39,GBP,129.17,0,0,25.83,155.00,paid,fulfilled,facebook,paid_social,Prospecting_Mens_EU,/,,,
ord_000022,1022,cust_000020,2024-06-01T10:03:51,GBP,43.33,0,4.95,9.66,57.94,paid,fulfilled,direct,none,,/,,,
ord_000023,1023,cust_000021,2024-06-01T08:44:54,GBP,141.67,0,0,0,141.67,paid,fulfilled,facebook,paid_social,Prospecting_Mens_EU,/,,,
ord_000024,1024,cust_000022,2024-06-01T15:58:05,GBP,40.00,4.00,9.95,0,45.95,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,WELCOME10
ord_000025,1025,cust_000023,2024-06-01T14:08:11,GBP,131.66,0,0,26.33,157.99,partially_refunded,fulfilled,direct,none,,/,,,
ord_000026,1026,cust_000024,2024-06-01T09:33:11,GBP,129.17,12.92,0,23.25,139.50,paid,fulfilled,tiktok,organic_social,,/,,,WELCOME10
ord_000027,1027,cust_000025,2024-06-01T16:40:28,GBP,43.33,6.50,4.95,8.36,50.14,paid,fulfilled,klaviyo,email,Win_Back,/,,,SUMMER24
ord_000028,1028,cust_000026,2024-06-01T13:49:22,GBP,89.16,10,0,0,79.16,paid,fulfilled,google,cpc,Brand_Search_EU,/,,,PRETTYNEW
ord_000029,1029,cust_000027,2024-06-01T21:58:26,GBP,183.34,0,0,36.67,220.01,paid,fulfilled,direct,none,,/,,,
ord_000030,1030,cust_000028,2024-06-01T12:19:52,GBP,341.66,0,0,68.33,409.99,partially_refunded,fulfilled,direct,none,,/,,,
ord_000031,1031,cust_000029,2024-06-01T19:50:40,GBP,85.83,8.58,0,15.45,92.70,paid,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,WELCOME10
ord_000032,1032,cust_000030,2024-06-01T08:26:50,GBP,112.50,0,0,22.50,135.00,paid,fulfilled,google,cpc,Shopping_Hoodies_UK,/,,,
ord_000033,1033,cust_000031,2024-06-01T22:46:58,GBP,295.83,10,0,57.17,343.00,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,PRETTYNEW
ord_000034,1034,cust_000032,2024-06-01T10:44:40,GBP,45.83,0,9.95,0,55.78,paid,fulfilled,direct,none,,/,,,
ord_000035,1035,cust_000033,2024-06-01T20:19:30,GBP,83.34,0,0,16.67,100.01,paid,fulfilled,organic,organic,,/,,,
ord_000036,1036,cust_000034,2024-06-01T10:36:10,GBP,129.17,0,0,0,129.17,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000037,1037,cust_000022,2024-06-01T19:27:18,GBP,43.33,0,4.95,9.66,57.94,partially_refunded,fulfilled,direct,none,,/,,,
ord_000038,1038,cust_000019,2024-06-01T18:17:52,GBP,162.50,0,0,32.50,195.00,paid,fulfilled,direct,none,,/,,,
ord_000039,1039,cust_000035,2024-06-01T19:09:04,GBP,35.00,0,12.95,0,47.95,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_000040,1040,cust_000023,2024-06-01T16:31:30,GBP,80.00,0,0,16.00,96.00,paid,fulfilled,instagram,paid_social,Prospecting_Mens_EU,/,,,
ord_000041,1041,cust_000036,2024-06-01T22:37:41,GBP,205.83,0,0,0,205.83,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_000042,1042,cust_000037,2024-06-01T20:08:31,GBP,165.00,0,0,33.00,198.00,paid,fulfilled,direct,none,,/,,,
ord_000043,1043,cust_000025,2024-06-01T09:29:02,GBP,37.50,0,4.95,8.49,50.94,paid,fulfilled,organic,organic,,/,,,
ord_000044,1044,cust_000038,2024-06-01T13:24:55,GBP,206.66,0,0,41.33,247.99,paid,fulfilled,organic,organic,,/,,,
ord_000045,1045,cust_000039,2024-06-01T17:06:54,GBP,129.99,0,0,26.00,155.99,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000046,1046,cust_000040,2024-06-01T18:34:04,GBP,80.00,0,0,16.00,96.00,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000047,1047,cust_000041,2024-06-01T19:53:43,GBP,112.50,0,0,22.50,135.00,paid,fulfilled,google,cpc,Brand_Search_EU,/,,,
ord_000048,1048,cust_000042,2024-06-01T13:48:35,GBP,37.50,0,4.95,8.49,50.94,paid,fulfilled,tiktok,organic_social,,/,,,
ord_000049,1049,cust_000043,2024-06-01T20:53:54,GBP,112.50,0,0,22.50,135.00,paid,fulfilled,organic,organic,,/,,,
ord_000050,1050,cust_000044,2024-06-01T21:18:08,GBP,43.33,0,4.95,9.66,57.94,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000051,1051,cust_000045,2024-06-01T08:11:56,GBP,45.83,0,4.95,10.16,60.94,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_000052,1052,cust_000046,2024-06-01T11:55:22,GBP,120.83,12.08,0,21.75,130.50,paid,fulfilled,google,cpc,Brand_Search_UK,/,,,WELCOME10
ord_000053,1053,cust_000047,2024-06-01T11:55:07,GBP,35.00,5.25,4.95,6.94,41.64,paid,fulfilled,tiktok,organic_social,,/,,,SUMMER24
ord_000054,1054,cust_000048,2024-06-01T15:31:24,GBP,80.83,0,0,16.17,97.00,partially_refunded,fulfilled,organic,organic,,/,,,
ord_000055,1055,cust_000049,2024-06-01T10:33:58,GBP,254.17,0,0,50.83,305.00,partially_refunded,fulfilled,klaviyo,email,Restock_Alert,/,,,
ord_000056,1056,cust_000050,2024-06-01T11:32:49,GBP,43.33,6.50,4.95,8.36,50.14,paid,fulfilled,tiktok,organic_social,,/,,,SUMMER24
ord_000057,1057,cust_000051,2024-06-01T14:53:43,GBP,45.83,10,4.95,8.16,48.94,paid,fulfilled,direct,none,,/,,,PRETTYNEW
ord_000058,1058,cust_000052,2024-06-01T08:59:12,GBP,120.83,0,0,24.17,145.00,paid,fulfilled,direct,none,,/,,,
ord_000059,1059,cust_000053,2024-06-01T09:02:22,GBP,45.83,0,4.95,10.16,60.94,partially_refunded,fulfilled,google,cpc,Shopping_Hoodies_UK,/,,,
ord_000060,1060,cust_000054,2024-06-01T13:58:32,GBP,41.67,0,9.95,0,51.62,paid,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,
ord_000061,1061,cust_000055,2024-06-01T10:26:41,GBP,160.00,0,0,32.00,192.00,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,
ord_000062,1062,cust_000056,2024-06-01T11:38:21,GBP,344.17,0,0,68.83,413.00,paid,fulfilled,tiktok,organic_social,,/,,,
ord_000063,1063,cust_000057,2024-06-01T12:44:50,GBP,129.17,0,0,25.83,155.00,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000064,1064,cust_000058,2024-06-01T10:20:40,GBP,37.50,0,4.95,8.49,50.94,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_000065,1065,cust_000059,2024-06-01T19:57:20,GBP,141.67,0,0,28.33,170.00,paid,fulfilled,klaviyo,email,Drop_Announcement,/,,,
ord_000066,1066,cust_000060,2024-06-01T22:49:41,GBP,89.16,0,0,0,89.16,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,
ord_000067,1067,cust_000061,2024-06-01T20:07:07,GBP,175.00,10,0,33.00,198.00,paid,fulfilled,google,cpc,Shopping_Hoodies_UK,/,,,PRETTYNEW
ord_000068,1068,cust_000062,2024-06-01T11:38:05,GBP,41.67,4.17,4.95,8.49,50.94,paid,fulfilled,direct,none,,/,,,WELCOME10
ord_000069,1069,cust_000063,2024-06-01T21:46:40,GBP,204.17,0,0,40.83,245.00,paid,fulfilled,google,cpc,Brand_Search_UK,/,,,
ord_000070,1070,cust_000064,2024-06-01T21:36:27,GBP,45.83,0,4.95,10.16,60.94,paid,fulfilled,klaviyo,email,Welcome_Flow,/,,,
ord_000071,1071,cust_000053,2024-06-01T10:13:53,GBP,125.00,10,0,23.00,138.00,paid,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,PRETTYNEW
ord_000072,1072,cust_000065,2024-06-01T19:02:38,GBP,41.67,0,12.95,0,54.62,paid,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,
ord_000073,1073,cust_000066,2024-06-01T09:03:35,GBP,45.83,0,12.95,0,58.78,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_000074,1074,cust_000067,2024-06-01T17:26:41,GBP,85.83,12.87,4.95,15.58,93.49,partially_refunded,fulfilled,google,cpc,Generic_Streetwear_UK,/,,,SUMMER24
ord_000075,1075,cust_000068,2024-06-01T12:43:11,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,direct,none,,/,,,
ord_000076,1076,cust_000069,2024-06-01T12:38:11,GBP,83.34,0,0,16.67,100.01,partially_refunded,fulfilled,instagram,paid_social,Prospecting_Mens_EU,/,,,
ord_000077,1077,cust_000070,2024-06-01T20:38:13,GBP,83.33,12.50,4.95,15.16,90.94,paid,fulfilled,direct,none,,/,,,SUMMER24
ord_000078,1078,cust_000018,2024-06-01T21:07:07,GBP,43.33,0,4.95,9.66,57.94,paid,fulfilled,direct,none,,/,,,
ord_000079,1079,cust_000071,2024-06-01T18:18:47,GBP,141.67,0,0,28.33,170.00,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000080,1080,cust_000072,2024-06-01T15:05:34,GBP,40.00,0,12.95,0,52.95,paid,fulfilled,klaviyo,email,Abandoned_Cart,/,,,
ord_000081,1081,cust_000073,2024-06-01T20:47:24,GBP,83.34,8.33,0,15.00,90.01,partially_refunded,fulfilled,direct,none,,/,,,WELCOME10
ord_000082,1082,cust_000074,2024-06-01T18:56:42,GBP,125.00,0,0,25.00,150.00,paid,fulfilled,organic,organic,,/,,,
ord_000083,1083,cust_000074,2024-06-01T11:54:16,GBP,35.00,0,9.95,0,44.95,paid,fulfilled,direct,none,,/,,,
ord_000084,1084,cust_000010,2024-06-01T11:57:15,GBP,80.00,0,0,16.00,96.00,paid,fulfilled,klaviyo,email,Win_Back,/,,,
ord_000085,1085,cust_000075,2024-06-01T18:34:50,GBP,133.33,0,0,0,133.33,paid,fulfilled,direct,none,,/,,,
ord_000086,1086,cust_000076,2024-06-01T21:45:06,GBP,216.66,0,0,43.33,259.99,paid,fulfilled,direct,none,,/,,,
ord_000087,1087,cust_000077,2024-06-01T11:51:43,GBP,81.67,0,0,0,81.67,paid,fulfilled,google,cpc,Brand_Search_UK,/,,,
ord_000088,1088,cust_000078,2024-06-01T08:42:27,GBP,125.00,0,0,0,125.00,paid,fulfilled,klaviyo,email,Drop_Announcement,/,,,
ord_000089,1089,cust_000079,2024-06-01T21:21:26,GBP,162.50,0,0,32.50,195.00,paid,fulfilled,google,cpc,Shopping_Hoodies_UK,/,,,
ord_000090,1090,cust_000010,2024-06-01T14:10:56,GBP,112.50,16.88,0,0,95.62,paid,fulfilled,direct,none,,/,,,SUMMER24
ord_000091,1091,cust_000080,2024-06-01T13:44:54,GBP,202.50,0,0,40.50,243.00,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000092,1092,cust_000081,2024-06-01T10:01:54,GBP,162.50,0,0,0,162.50,partially_refunded,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000093,1093,cust_000030,2024-06-01T13:03:39,GBP,41.67,0,4.95,9.32,55.94,paid,fulfilled,direct,none,,/,,,
ord_000094,1094,cust_000082,2024-06-01T17:13:25,GBP,41.67,0,4.95,9.32,55.94,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,
ord_000095,1095,cust_000083,2024-06-01T18:14:29,GBP,257.50,0,0,51.50,309.00,paid,fulfilled,direct,none,,/,,,
ord_000096,1096,cust_000084,2024-06-01T19:09:54,GBP,123.33,0,0,24.67,148.00,paid,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,
ord_000097,1097,cust_000085,2024-06-01T11:36:14,GBP,41.67,0,4.95,9.32,55.94,paid,fulfilled,klaviyo,email,Win_Back,/,,,
ord_000098,1098,cust_000069,2024-06-01T19:39:07,GBP,164.17,0,0,32.83,197.00,paid,fulfilled,google,cpc,Shopping_Hoodies_UK,/,,,
ord_000099,1099,cust_000086,2024-06-01T09:19:42,GBP,112.50,0,0,22.50,135.00,paid,fulfilled,facebook,paid_social,Prospecting_Mens_EU,/,,,
ord_000100,1100,cust_000087,2024-06-01T08:11:35,GBP,40.00,0,12.95,0,52.95,paid,fulfilled,organic,organic,,/,,,
ord_000101,1101,cust_000088,2024-06-01T09:11:44,GBP,43.33,0,4.95,9.66,57.94,partially_refunded,fulfilled,facebook,paid_social,Prospecting_Mens_EU,/,,,
ord_000102,1102,cust_000089,2024-06-01T08:04:39,GBP,162.50,0,0,32.50,195.00,paid,fulfilled,facebook,paid_social,Brand_Awareness_UK,/,,,
ord_000103,1103,cust_000090,2024-06-01T08:15:47,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,direct,none,,/,,,
ord_000104,1104,cust_000091,2024-06-01T13:01:15,GBP,125.00,0,0,25.00,150.00,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000105,1105,cust_000092,2024-06-01T21:04:42,GBP,43.33,0,4.95,9.66,57.94,paid,fulfilled,instagram,paid_social,Retargeting_AllUsers,/,,,
ord_000106,1106,cust_000093,2024-06-01T17:34:11,GBP,247.50,0,0,49.50,297.00,partially_refunded,fulfilled,google,cpc,Shopping_Hoodies_UK,/,,,
ord_000107,1107,cust_000094,2024-06-01T17:14:29,GBP,342.50,0,0,68.50,411.00,paid,fulfilled,google,cpc,Brand_Search_UK,/,,,
ord_000108,1108,cust_000095,2024-06-01T17:06:19,GBP,162.50,24.38,0,27.62,165.74,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,SUMMER24
ord_000109,1109,cust_000096,2024-06-01T22:32:45,GBP,133.33,0,0,26.67,160.00,paid,fulfilled,direct,none,,/,,,
ord_000110,1110,cust_000097,2024-06-01T17:52:20,GBP,43.33,0,4.95,9.66,57.94,paid,fulfilled,facebook,paid_social,Brand_Awareness_UK,/,,,
ord_000111,1111,cust_000098,2024-06-01T10:14:30,GBP,120.83,0,0,24.17,145.00,paid,fulfilled,google,cpc,Shopping_All_EU,/,,,
ord_000112,1112,cust_000099,2024-06-01T15:56:05,GBP,169.17,0,0,33.83,203.00,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000113,1113,cust_000100,2024-06-01T16:38:43,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,klaviyo,email,Win_Back,/,,,
ord_000114,1114,cust_000101,2024-06-01T15:41:02,GBP,133.33,0,0,26.67,160.00,paid,fulfilled,organic,organic,,/,,,
ord_000115,1115,cust_000102,2024-06-01T12:38:40,GBP,208.33,0,0,41.67,250.00,paid,fulfilled,klaviyo,email,Drop_Announcement,/,,,
ord_000116,1116,cust_000103,2024-06-01T17:20:01,GBP,43.33,0,4.95,9.66,57.94,paid,fulfilled,direct,none,,/,,,
ord_000117,1117,cust_000104,2024-06-01T16:22:51,GBP,162.50,16.25,0,29.25,175.50,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,WELCOME10
ord_000118,1118,cust_000105,2024-06-01T08:20:04,GBP,162.50,0,0,0,162.50,paid,fulfilled,klaviyo,email,Win_Back,/,,,
ord_000119,1119,cust_000106,2024-06-01T13:52:50,GBP,141.67,0,0,28.33,170.00,paid,fulfilled,direct,none,,/,,,
ord_000120,1120,cust_000107,2024-06-01T09:44:33,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000121,1121,cust_000095,2024-06-01T08:22:45,GBP,133.33,0,0,26.67,160.00,paid,fulfilled,tiktok,organic_social,,/,,,
ord_000122,1122,cust_000108,2024-06-01T11:55:39,GBP,45.83,0,4.95,10.16,60.94,paid,fulfilled,tiktok,organic_social,,/,,,
ord_000123,1123,cust_000109,2024-06-01T12:56:11,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,direct,none,,/,,,
ord_000124,1124,cust_000110,2024-06-01T15:26:49,GBP,173.33,0,0,34.67,208.00,paid,fulfilled,direct,none,,/,,,
ord_000125,1125,cust_000111,2024-06-01T16:48:20,GBP,116.67,0,0,23.33,140.00,paid,fulfilled,facebook,paid_social,Prospecting_Mens_EU,/,,,
ord_000126,1126,cust_000059,2024-06-01T22:32:48,GBP,40.00,4.00,4.95,8.19,49.14,paid,fulfilled,klaviyo,email,Drop_Announcement,/,,,WELCOME10
ord_000127,1127,cust_000112,2024-06-01T12:37:58,GBP,125.00,0,0,25.00,150.00,paid,fulfilled,direct,none,,/,,,
ord_000128,1128,cust_000113,2024-06-01T11:29:42,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_000129,1129,cust_000114,2024-06-01T18:04:26,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000130,1130,cust_000115,2024-06-01T17:51:15,GBP,112.50,0,0,22.50,135.00,paid,fulfilled,instagram,paid_social,Brand_Awareness_UK,/,,,
ord_000131,1131,cust_000116,2024-06-01T21:09:51,GBP,45.83,10,9.95,0,45.78,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,PRETTYNEW
ord_000132,1132,cust_000117,2024-06-01T12:47:12,GBP,35.00,0,4.95,7.99,47.94,paid,fulfilled,google,cpc,Generic_Streetwear_UK,/,,,
ord_000133,1133,cust_000118,2024-06-01T21:08:22,GBP,86.66,8.67,0,0,77.99,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,WELCOME10
ord_000134,1134,cust_000119,2024-06-01T13:34:32,GBP,372.50,0,0,74.50,447.00,paid,fulfilled,organic,organic,,/,,,
ord_000135,1135,cust_000120,2024-06-01T21:15:35,GBP,35.00,0,4.95,7.99,47.94,paid,fulfilled,direct,none,,/,,,
ord_000136,1136,cust_000121,2024-06-01T12:37:41,GBP,41.67,0,12.95,0,54.62,paid,fulfilled,direct,none,,/,,,
ord_000137,1137,cust_000122,2024-06-01T21:31:21,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,direct,none,,/,,,
ord_000138,1138,cust_000123,2024-06-01T16:05:41,GBP,162.50,0,0,32.50,195.00,paid,fulfilled,direct,none,,/,,,
ord_000139,1139,cust_000124,2024-06-01T09:01:53,GBP,133.33,0,0,0,133.33,paid,fulfilled,direct,none,,/,,,
ord_000140,1140,cust_000125,2024-06-01T15:15:25,GBP,80.83,0,0,16.17,97.00,paid,fulfilled,instagram,paid_social,Retargeting_AllUsers,/,,,
ord_000141,1141,cust_000126,2024-06-01T17:53:34,GBP,41.67,0,4.95,9.32,55.94,paid,fulfilled,direct,none,,/,,,
ord_000142,1142,cust_000103,2024-06-01T14:34:13,GBP,37.50,0,4.95,8.49,50.94,paid,fulfilled,google,cpc,Brand_Search_UK,/,,,
ord_000143,1143,cust_000127,2024-06-01T15:39:00,GBP,162.50,10,0,30.50,183.00,paid,fulfilled,google,cpc,Generic_Streetwear_UK,/,,,PRETTYNEW
ord_000144,1144,cust_000128,2024-06-01T12:25:22,GBP,133.33,0,0,26.67,160.00,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000145,1145,cust_000129,2024-06-01T11:48:41,GBP,120.83,0,0,0,120.83,partially_refunded,fulfilled,direct,none,,/,,,
ord_000146,1146,cust_000036,2024-06-01T22:26:21,GBP,37.50,0,4.95,8.49,50.94,paid,fulfilled,tiktok,organic_social,,/,,,
ord_000147,1147,cust_000130,2024-06-01T15:44:09,GBP,141.67,21.25,0,24.08,144.50,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,SUMMER24
ord_000148,1148,cust_000131,2024-06-01T16:31:42,GBP,43.33,0,4.95,9.66,57.94,paid,fulfilled,google,cpc,Brand_Search_UK,/,,,
ord_000149,1149,cust_000132,2024-06-01T17:40:16,GBP,45.83,10,4.95,8.16,48.94,paid,fulfilled,google,cpc,Generic_Streetwear_UK,/,,,PRETTYNEW
ord_000150,1150,cust_000133,2024-06-01T08:49:19,GBP,40.00,0,4.95,8.99,53.94,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,
ord_000151,1151,cust_000134,2024-06-01T21:07:26,GBP,164.16,0,0,32.83,196.99,partially_refunded,fulfilled,direct,none,,/,,,
ord_000152,1152,cust_000135,2024-06-01T22:53:22,GBP,205.83,0,0,41.17,247.00,paid,fulfilled,direct,none,,/,,,
ord_000153,1153,cust_000136,2024-06-01T15:36:20,GBP,319.16,0,0,0,319.16,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000154,1154,cust_000137,2024-06-01T19:40:53,GBP,85.00,0,0,17.00,102.00,paid,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,
ord_000155,1155,cust_000138,2024-06-01T20:13:24,GBP,112.50,10,0,20.50,123.00,paid,fulfilled,organic,organic,,/,,,PRETTYNEW
ord_000156,1156,cust_000139,2024-06-02T12:57:50,GBP,41.67,10,4.95,7.32,43.94,paid,fulfilled,google,cpc,Shopping_All_EU,/,,,PRETTYNEW
ord_000157,1157,cust_000140,2024-06-02T19:52:08,GBP,45.83,0,4.95,10.16,60.94,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_000158,1158,cust_000141,2024-06-02T11:03:02,GBP,245.83,0,0,49.17,295.00,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000159,1159,cust_000142,2024-06-02T16:35:52,GBP,45.83,0,4.95,10.16,60.94,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,
ord_000160,1160,cust_000143,2024-06-02T17:44:26,GBP,116.67,0,0,23.33,140.00,paid,fulfilled,direct,none,,/,,,
ord_000161,1161,cust_000144,2024-06-02T21:12:19,GBP,133.33,13.33,0,24.00,144.00,paid,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,WELCOME10
ord_000162,1162,cust_000145,2024-06-02T20:08:27,GBP,45.83,0,4.95,10.16,60.94,partially_refunded,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000163,1163,cust_000146,2024-06-02T15:08:41,GBP,41.67,0,4.95,9.32,55.94,paid,fulfilled,organic,organic,,/,,,
ord_000164,1164,cust_000147,2024-06-02T15:15:01,GBP,45.83,4.58,12.95,0,54.20,paid,fulfilled,tiktok,organic_social,,/,,,WELCOME10
ord_000165,1165,cust_000148,2024-06-02T15:28:22,GBP,41.67,0,4.95,9.32,55.94,partially_refunded,fulfilled,klaviyo,email,Welcome_Flow,/,,,
ord_000166,1166,cust_000149,2024-06-02T12:19:48,GBP,162.50,0,0,32.50,195.00,partially_refunded,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_000167,1167,cust_000150,2024-06-02T14:08:00,GBP,141.67,14.17,0,25.50,153.00,paid,fulfilled,tiktok,organic_social,,/,,,WELCOME10
ord_000168,1168,cust_000019,2024-06-02T15:47:35,GBP,41.67,0,12.95,0,54.62,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_000169,1169,cust_000147,2024-06-02T18:14:28,GBP,41.67,0,4.95,9.32,55.94,paid,fulfilled,klaviyo,email,Win_Back,/,,,
ord_000170,1170,cust_000151,2024-06-02T20:09:08,GBP,333.33,0,0,66.67,400.00,partially_refunded,fulfilled,tiktok,organic_social,,/,,,
ord_000171,1171,cust_000145,2024-06-02T21:41:58,GBP,205.83,0,0,41.17,247.00,paid,fulfilled,direct,none,,/,,,
ord_000172,1172,cust_000152,2024-06-02T19:31:50,GBP,116.67,0,0,23.33,140.00,paid,fulfilled,facebook,paid_social,Brand_Awareness_UK,/,,,
ord_000173,1173,cust_000153,2024-06-02T13:12:00,GBP,133.33,20.00,0,0,113.33,paid,fulfilled,organic,organic,,/,,,SUMMER24
ord_000174,1174,cust_000154,2024-06-02T21:45:12,GBP,40.00,0,9.95,0,49.95,paid,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,
